Rk,Team,Date,H/A,Opp,Result,Tm_ORB%,Tm_DRB%,Tm_TRB%,Opp_ORB%,Opp_DRB%,Opp_TRB%
964,CLE,2025-03-23,@,UTA,"W, 120-91",26.4,74.0,50.5,26.0,73.6,50.5
965,LAL,2024-12-19,@,SAC,"W, 113-100",26.4,90.7,44.8,9.3,73.6,44.8
966,NOP,2025-02-21,@,DAL,"L, 103-111",26.4,83.0,47.0,17.0,73.6,47.0
967,ORL,2025-01-05,,UTA,"L, 92-105",26.4,72.5,53.8,27.5,73.6,53.8
968,PHI,2025-03-03,,POR,"L, 102-119",26.4,56.9,58.7,43.1,73.6,58.7
969,PHI,2025-02-11,,TOR,"L, 103-106",26.4,76.2,51.6,23.8,73.6,51.6
970,POR,2025-03-07,@,OKC,"L, 89-107",26.4,90.7,44.8,9.3,73.6,44.8
971,ATL,2025-03-16,@,BRK,"L, 114-122",26.3,70.0,51.3,30.0,73.7,51.3
972,DEN,2025-02-28,@,DET,"W, 134-119",26.3,74.1,45.7,25.9,73.7,45.7
973,LAC,2025-01-27,@,PHO,"L, 109-111",26.3,74.4,48.1,25.6,73.7,48.1
974,LAL,2025-02-10,,UTA,"W, 132-113",26.3,75.6,47.0,24.4,73.7,47.0
975,LAL,2024-11-10,,TOR,"W, 123-103",26.3,65.7,54.8,34.3,73.7,54.8
976,MEM,2025-01-09,,HOU,"L, 115-119",26.3,67.3,50.6,32.7,73.7,50.6
977,MIL,2024-11-20,,CHI,"W, 122-106",26.3,87.5,42.3,12.5,73.7,42.3
978,MIN,2025-02-12,,MIL,"L, 101-103",26.3,88.0,44.9,12.0,73.7,44.9
979,MIN,2024-12-31,@,OKC,"L, 105-113",26.3,78.6,46.3,21.4,73.7,46.3
980,NYK,2025-01-13,,DET,"L, 119-124",26.3,74.4,48.1,25.6,73.7,48.1
981,NYK,2024-11-17,,BRK,"W, 114-104",26.3,84.1,42.7,15.9,73.7,42.7
982,ORL,2024-12-19,,OKC,"L, 99-105",26.3,88.2,44.4,11.8,73.7,44.4
983,TOR,2025-02-02,,LAC,"W, 115-108",26.3,71.7,48.8,28.3,73.7,48.8
984,WAS,2025-03-10,@,TOR,"L, 104-119",26.2,57.6,57.5,42.4,73.8,57.5
985,CHI,2024-12-02,,BRK,"W, 128-102",26.2,81.1,43.2,18.9,73.8,43.2
986,CLE,2025-01-16,@,OKC,"L, 114-134",26.2,82.6,44.3,17.4,73.8,44.3
987,DEN,2025-03-05,,SAC,"W, 116-110",26.2,71.4,49.5,28.6,73.8,49.5
988,GSW,2025-03-08,,DET,"W, 115-110",26.2,72.9,48.9,27.1,73.8,48.9
989,GSW,2025-02-27,@,ORL,"W, 121-115",26.2,64.3,54.8,35.7,73.8,54.8
990,LAL,2025-03-24,@,ORL,"L, 106-118",26.2,70.0,52.4,30.0,73.8,52.4
991,MEM,2025-03-10,,PHO,"W, 120-118",26.2,65.1,54.1,34.9,73.8,54.1
992,MIL,2024-11-07,,UTA,"W, 123-100",26.2,78.9,48.8,21.1,73.8,48.8
993,MIN,2024-11-29,,LAC,"W, 93-92",26.2,82.6,44.3,17.4,73.8,44.3
994,NOP,2025-03-19,@,MIN,"W, 119-115",26.2,79.5,46.5,20.5,73.8,46.5
995,NOP,2025-03-13,,ORL,"L, 93-113",26.2,78.4,49.4,21.6,73.8,49.4
996,NYK,2025-03-12,@,POR,"W, 114-113 (OT)",26.2,56.3,57.8,43.8,73.8,57.8
997,NYK,2025-03-02,@,MIA,"W, 116-112 (OT)",26.2,92.1,42.5,7.9,73.8,42.5
998,PHI,2024-12-20,,CHO,"W, 108-98",26.2,68.3,53.0,31.7,73.8,53.0
999,PHO,2024-11-20,,NYK,"L, 122-138",26.2,69.7,54.7,30.3,73.8,54.7
1000,PHO,2024-11-08,@,DAL,"W, 114-113",26.2,76.5,51.3,23.5,73.8,51.3
1001,POR,2024-11-01,,OKC,"L, 114-137",26.2,64.1,55.6,35.9,73.8,55.6
1002,SAC,2024-11-15,,MIN,"L, 126-130 (OT)",26.2,80.0,44.6,20.0,73.8,44.6
1003,SAS,2024-11-15,,LAL,"L, 115-120",26.2,74.4,50.6,25.6,73.8,50.6
1004,UTA,2025-02-12,,LAL,"W, 131-119",26.2,72.5,48.4,27.5,73.8,48.4
1005,WAS,2024-11-13,@,SAS,"L, 130-139",26.2,78.9,48.8,21.1,73.8,48.8
1006,ATL,2025-01-07,@,UTA,"W, 124-121",26.1,71.1,51.6,28.9,73.9,51.6
1007,ATL,2024-12-19,@,SAS,"L, 126-133 (OT)",26.1,83.7,44.2,16.3,73.9,44.2
1008,BOS,2025-03-10,,UTA,"W, 114-108",26.1,71.4,50.5,28.6,73.9,50.5
1009,DAL,2024-11-30,@,UTA,"W, 106-94",26.1,65.5,52.5,34.5,73.9,52.5
1010,DEN,2025-01-27,@,CHI,"L, 121-129",26.1,69.8,52.8,30.2,73.9,52.8
1011,HOU,2025-01-27,@,BOS,"W, 114-112",26.1,79.4,51.3,20.6,73.9,51.3
1012,MIL,2024-12-06,@,BOS,"L, 105-111",26.1,84.8,44.6,15.2,73.9,44.6
1013,OKC,2025-02-13,@,MIN,"L, 101-116",26.1,64.9,52.4,35.1,73.9,52.4
1014,OKC,2024-12-20,@,MIA,"W, 104-97",26.1,83.7,46.1,16.3,73.9,46.1
1015,PHO,2024-12-27,,DAL,"L, 89-98",26.1,81.1,49.4,18.9,73.9,49.4
1016,POR,2024-12-15,@,PHO,"L, 109-116",26.1,75.0,48.9,25.0,73.9,48.9
1017,SAC,2025-01-16,,HOU,"W, 132-127",26.1,72.7,51.1,27.3,73.9,51.1
1018,TOR,2024-11-02,,SAC,"W, 131-128 (OT)",26.1,69.4,51.6,30.6,73.9,51.6
1019,WAS,2024-11-18,@,NYK,"L, 106-134",26.1,80.6,50.0,19.4,73.9,50.0
1020,ATL,2025-03-12,,CHO,"W, 123-110",26.0,75.0,52.2,25.0,74.0,52.2
1021,MEM,2025-01-06,,DAL,"W, 119-104",26.0,76.4,47.6,23.6,74.0,47.6
1022,MIL,2025-01-02,,BRK,"L, 110-113",26.0,70.2,52.6,29.8,74.0,52.6
1023,ORL,2025-02-12,,CHO,"W, 102-86",26.0,86.7,45.3,13.3,74.0,45.3
1024,SAS,2025-02-07,@,CHO,"L, 116-117",26.0,61.0,58.2,39.0,74.0,58.2
1025,SAS,2025-01-19,@,MIA,"L, 107-128",26.0,72.1,52.7,27.9,74.0,52.7
1026,TOR,2025-04-03,,POR,"L, 103-112",26.0,56.4,60.7,43.6,74.0,60.7
1027,UTA,2025-03-23,,CLE,"L, 91-120",26.0,73.6,49.5,26.4,74.0,49.5
1028,DET,2025-02-28,,DEN,"L, 119-134",25.9,73.7,54.3,26.3,74.1,54.3
1029,SAC,2024-12-05,@,MEM,"L, 110-115",25.9,78.0,51.6,22.0,74.1,51.6
1030,LAC,2025-01-16,@,POR,"W, 118-89",25.8,75.0,42.5,25.0,74.2,42.5
1031,NYK,2024-11-25,@,DEN,"W, 145-118",25.8,77.8,43.4,22.2,74.2,43.4
1032,CLE,2025-03-25,@,POR,"W, 122-111",25.7,62.7,52.3,37.3,74.3,52.3
1033,DEN,2025-01-15,,HOU,"L, 108-128",25.7,65.9,52.6,34.1,74.3,52.6
1034,HOU,2025-03-06,@,NOP,"W, 109-97",25.7,68.1,50.0,31.9,74.3,50.0
1035,LAL,2025-01-30,@,WAS,"W, 134-96",25.7,76.5,44.2,23.5,74.3,44.2
1036,MEM,2025-01-30,,HOU,"W, 120-119",25.7,59.6,54.9,40.4,74.3,54.9
1037,BRK,2024-12-29,@,ORL,"L, 101-102",25.7,64.4,52.5,35.6,74.3,52.5
1038,NYK,2025-03-30,,POR,"W, 110-93",25.7,72.9,47.0,27.1,74.3,47.0
1039,TOR,2025-01-09,@,CLE,"L, 126-132",25.7,63.6,53.2,36.4,74.3,53.2
1040,ATL,2024-11-29,,CLE,"W, 117-101",25.6,79.6,43.0,20.4,74.4,43.0
1041,DEN,2025-03-23,@,HOU,"W, 116-111",25.6,67.3,51.1,32.7,74.4,51.1
