Rk,Team,Date,H/A,Opp,Result,MP,Tm_FG,Tm_FGA,Tm_FG%,Tm_2P,Tm_2PA,Tm_2P%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_PTS,Opp_FG,Opp_FGA,Opp_FG%,Opp_2P,Opp_2PA,Opp_2P%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_PTS
49,MIN,2025-03-09,,SAS,"W, 141-124",240,53,95,.558,32,53,.604,21,42,.500,14,15,.933,141,47,85,.553,36,55,.655,11,30,.367,19,24,.792,124
50,MIN,2025-01-25,,DEN,"W, 133-104",240,53,95,.558,39,65,.600,14,30,.467,13,15,.867,133,43,88,.489,32,56,.571,11,32,.344,7,13,.538,104
51,NOP,2025-03-02,@,UTA,"W, 128-121",240,53,102,.520,38,58,.655,15,44,.341,7,13,.538,128,46,96,.479,30,52,.577,16,44,.364,13,17,.765,121
52,NYK,2025-03-25,,DAL,"W, 128-113",240,53,89,.596,43,63,.683,10,26,.385,12,18,.667,128,43,80,.538,37,61,.607,6,19,.316,21,25,.840,113
53,OKC,2025-01-16,,CLE,"W, 134-114",240,53,105,.505,35,52,.673,18,53,.340,10,11,.909,134,42,90,.467,29,48,.604,13,42,.310,17,21,.810,114
54,OKC,2024-12-03,,UTA,"W, 133-106",240,53,102,.520,36,55,.655,17,47,.362,10,11,.909,133,38,70,.543,25,35,.714,13,35,.371,17,22,.773,106
55,PHO,2025-02-25,@,MEM,"L, 148-151 (OT)",265,53,99,.535,32,62,.516,21,37,.568,21,26,.808,148,52,99,.525,32,51,.627,20,48,.417,27,30,.900,151
56,SAC,2025-02-10,@,DAL,"W, 129-128 (OT)",265,53,96,.552,44,70,.629,9,26,.346,14,19,.737,129,49,95,.516,34,58,.586,15,37,.405,15,24,.625,128
57,TOR,2025-01-09,@,CLE,"L, 126-132",240,53,89,.596,39,58,.672,14,31,.452,6,13,.462,126,47,89,.528,29,44,.659,18,45,.400,20,25,.800,132
58,UTA,2024-12-06,@,POR,"W, 141-99",240,53,96,.552,39,64,.609,14,32,.438,21,23,.913,141,37,95,.389,23,48,.479,14,47,.298,11,17,.647,99
59,CHI,2024-12-05,@,SAS,"W, 139-124",240,52,90,.578,35,53,.660,17,37,.459,18,23,.783,139,44,95,.463,36,67,.537,8,28,.286,28,39,.718,124
60,CLE,2025-01-03,@,DAL,"W, 134-122",240,52,98,.531,37,58,.638,15,40,.375,15,20,.750,134,43,100,.430,31,56,.554,12,44,.273,24,30,.800,122
61,CLE,2024-11-06,@,NOP,"W, 131-122",240,52,96,.542,35,61,.574,17,35,.486,10,13,.769,131,42,88,.477,29,61,.475,13,27,.481,25,28,.893,122
62,DAL,2025-01-29,@,NOP,"W, 137-136",240,52,96,.542,32,53,.604,20,43,.465,13,17,.765,137,51,96,.531,36,65,.554,15,31,.484,19,22,.864,136
63,DAL,2024-12-15,@,GSW,"W, 143-133",240,52,87,.598,31,46,.674,21,41,.512,18,25,.720,143,49,103,.476,22,49,.449,27,54,.500,8,11,.727,133
