Rk,Team,Date,GCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
62,Girona,2024-08-29,8,,Osasuna,es La Liga,W 4-0,4,0,+4,60,4,0,0,0,8,8,0,0,0,0,0,Match Report
63,Atalanta,2024-10-05,8,,Genoa,it Serie A,W 5-1,5,1,+4,63,4,1,1,0,8,6,0,0,2,0,0,Match Report
64,Sevilla,2025-02-16,8,@,Valladolid,es La Liga,W 4-0,4,0,+4,48,4,0,0,0,8,8,0,0,0,0,0,Match Report
65,Dortmund,2025-04-05,8,@,Freiburg,de Bundesliga,W 4-1,4,1,+3,46,4,0,0,0,8,6,0,1,1,0,0,Match Report
66,Dortmund,2024-09-27,8,,Bochum,de Bundesliga,W 4-2,4,2,+2,66,3,1,1,0,8,6,0,1,0,1,0,Match Report
67,Newcastle Utd,2024-12-14,8,,Leicester City,eng Premier League,W 4-0,4,0,+4,59,4,0,0,0,8,7,1,0,0,0,0,Match Report
68,Manchester City,2025-02-15,8,,Newcastle Utd,eng Premier League,W 4-0,4,0,+4,61,4,0,0,0,8,7,1,0,0,0,0,Match Report
69,Manchester City,2024-08-24,8,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,75,3,1,1,0,8,5,0,1,0,1,1,Match Report
70,Strasbourg,2025-03-28,8,,Lyon,fr Ligue 1,W 4-2,4,2,+2,40,4,0,0,0,8,6,1,1,0,0,0,Match Report
71,Cagliari,2025-01-19,8,,Lecce,it Serie A,W 4-1,4,1,+3,50,4,0,0,0,8,6,1,0,1,0,0,Match Report
72,Leverkusen,2024-09-14,8,@,Hoffenheim,de Bundesliga,W 4-1,4,1,+3,60,3,1,1,0,8,5,0,2,0,1,0,Match Report
73,Lille,2025-02-01,8,,Saint-Étienne,fr Ligue 1,W 4-1,4,1,+3,67,3,1,1,0,8,7,0,0,0,1,0,Match Report
74,Brentford,2024-11-30,8,,Leicester City,eng Premier League,W 4-1,4,1,+3,60,4,0,0,0,8,8,0,0,0,0,0,Match Report
75,Brentford,2024-10-26,8,,Ipswich Town,eng Premier League,W 4-3,4,3,+1,65,3,1,1,0,8,6,1,0,0,1,0,Match Report
76,Roma,2025-02-24,8,,Monza,it Serie A,W 4-0,4,0,+4,65,4,0,0,0,8,7,1,0,0,0,0,Match Report
77,Roma,2024-12-07,8,,Lecce,it Serie A,W 4-1,4,1,+3,59,4,0,0,0,8,6,0,1,0,0,1,Match Report
78,Chelsea,2024-12-04,8,@,Southampton,eng Premier League,W 5-1,5,1,+4,55,5,0,0,0,8,5,1,0,1,0,1,Match Report
79,Lyon,2025-02-16,8,@,Montpellier,fr Ligue 1,W 4-1,4,1,+3,62,4,0,0,0,8,7,0,1,0,0,0,Match Report
80,Lyon,2025-02-09,8,,Reims,fr Ligue 1,W 4-0,4,0,+4,67,4,0,0,0,8,6,1,0,0,1,0,Match Report
81,Lyon,2024-10-20,8,@,Le Havre,fr Ligue 1,W 4-0,4,0,+4,61,4,0,0,0,8,7,0,1,0,0,0,Match Report
82,Milan,2024-09-14,8,,Venezia,it Serie A,W 4-0,4,0,+4,62,2,2,2,0,8,3,1,0,1,2,1,Match Report
83,Juventus,2024-10-27,8,@,Inter,it Serie A,D 4-4,4,4,0,53,4,0,0,0,8,7,0,1,0,0,0,Match Report
84,Paris S-G,2025-03-08,8,@,Rennes,fr Ligue 1,W 4-1,4,1,+3,68,4,0,0,0,8,8,0,0,0,0,0,Match Report
85,Paris S-G,2025-02-07,8,,Monaco,fr Ligue 1,W 4-1,4,1,+3,63,4,0,0,0,8,5,0,2,0,1,0,Match Report
86,Paris S-G,2024-11-09,8,@,Angers,fr Ligue 1,W 4-2,4,2,+2,70,4,0,0,0,8,8,0,0,0,0,0,Match Report
87,Paris S-G,2024-08-16,8,@,Le Havre,fr Ligue 1,W 4-1,4,1,+3,76,3,1,1,0,8,7,0,0,0,1,0,Match Report
88,Nott'ham Forest,2025-02-01,8,,Brighton,eng Premier League,W 7-0,7,0,+7,38,5,1,1,0,8,3,1,1,2,1,0,Match Report
89,Eint Frankfurt,2024-12-01,8,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,54,4,0,0,0,8,7,0,1,0,0,0,Match Report
