Rk,Team,Date,SoTA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SoTA,Saves,Save%,Match Report
147,Eint Frankfurt,2024-10-19,9,@,Leverkusen,de Bundesliga,L 1-2,1,2,-1,46,0,1,1,0,9,6,77.8,Match Report
148,Celta Vigo,2024-08-26,9,@,Villarreal,es La Liga,L 3-4,3,4,-1,55,3,0,0,0,9,5,55.6,Match Report
149,Brest,2025-01-18,9,@,Rennes,fr Ligue 1,W 2-1,2,1,+1,32,2,0,0,0,9,8,88.9,Match Report
150,Brest,2024-09-14,9,@,Paris S-G,fr Ligue 1,L 1-3,1,3,-2,33,0,1,1,0,9,6,66.7,Match Report
151,Brest,2024-08-25,9,@,Lens,fr Ligue 1,L 0-2,0,2,-2,48,0,0,0,0,9,8,77.8,Match Report
152,Monaco,2024-10-27,9,@,Nice,fr Ligue 1,L 1-2,1,2,-1,59,1,0,0,0,9,7,77.8,Match Report
153,Lecce,2025-03-08,9,,Milan,it Serie A,L 2-3,2,3,-1,30,2,0,0,0,9,7,77.8,Match Report
154,Las Palmas,2025-04-06,8,,Real Sociedad,es La Liga,L 1-3,1,3,-2,51,1,0,0,0,8,5,62.5,Match Report
155,Las Palmas,2024-11-30,8,@,Barcelona,es La Liga,W 2-1,2,1,+1,31,2,0,0,0,8,7,87.5,Match Report
156,Las Palmas,2024-08-29,8,,Real Madrid,es La Liga,D 1-1,1,1,0,43,1,0,0,0,8,7,100.0,Match Report
157,Hoffenheim,2024-12-01,8,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,48,0,0,0,0,8,6,75.0,Match Report
158,Osasuna,2024-12-21,8,,Athletic Club,es La Liga,L 1-2,1,2,-1,53,1,0,0,0,8,6,75.0,Match Report
159,Osasuna,2024-11-09,8,@,Real Madrid,es La Liga,L 0-4,0,4,-4,32,0,0,0,0,8,4,50.0,Match Report
160,Udinese,2025-01-20,8,@,Como,it Serie A,L 1-4,1,4,-3,49,1,0,0,0,8,5,50.0,Match Report
161,Udinese,2024-09-22,8,@,Roma,it Serie A,L 0-3,0,3,-3,38,0,0,0,0,8,5,75.0,Match Report
162,Augsburg,2024-09-01,8,@,Heidenheim,de Bundesliga,L 0-4,0,4,-4,64,0,0,0,0,8,4,62.5,Match Report
163,Torino,2025-02-22,8,,Milan,it Serie A,W 2-1,2,1,+1,36,1,0,0,0,8,6,87.5,Match Report
164,Torino,2024-10-05,8,@,Inter,it Serie A,L 2-3,2,3,-1,20,1,1,1,0,8,5,62.5,Match Report
165,Nice,2024-12-15,8,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,48,2,0,0,0,8,6,75.0,Match Report
166,Nice,2024-12-01,8,@,Lyon,fr Ligue 1,L 1-4,1,4,-3,47,1,0,0,0,8,4,62.5,Match Report
167,Valladolid,2025-04-06,8,,Getafe,es La Liga,L 0-4,0,4,-4,51,0,0,0,0,8,4,50.0,Match Report
168,Valladolid,2025-02-01,8,@,Villarreal,es La Liga,L 1-5,1,5,-4,47,1,0,0,0,8,3,37.5,Match Report
169,Heidenheim,2024-12-01,8,,Eint Frankfurt,de Bundesliga,L 0-4,0,4,-4,46,0,0,0,0,8,4,50.0,Match Report
170,Manchester Utd,2025-02-22,8,@,Everton,eng Premier League,D 2-2,2,2,0,62,2,0,0,0,8,6,75.0,Match Report
171,Barcelona,2024-11-23,8,@,Celta Vigo,es La Liga,D 2-2,2,2,0,59,2,0,0,0,8,6,75.0,Match Report
172,Monza,2024-09-22,8,,Bologna,it Serie A,L 1-2,1,2,-1,43,1,0,0,0,8,6,75.0,Match Report
173,Montpellier,2025-03-02,8,,Rennes,fr Ligue 1,L 0-4,0,4,-4,46,0,0,0,0,8,3,50.0,Match Report
174,Montpellier,2025-01-12,8,,Angers,fr Ligue 1,L 1-3,1,3,-2,58,0,1,1,0,8,5,62.5,Match Report
175,Villarreal,2025-01-25,8,@,Atlético Madrid,es La Liga,D 1-1,1,1,0,41,0,1,1,0,8,7,87.5,Match Report
176,Holstein Kiel,2024-08-24,8,@,Hoffenheim,de Bundesliga,L 2-3,2,3,-1,46,2,0,0,0,8,5,75.0,Match Report
177,Gladbach,2024-12-21,8,@,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,8,7,100.0,Match Report
178,Southampton,2025-04-06,8,@,Tottenham,eng Premier League,L 1-3,1,3,-2,49,1,0,0,0,8,5,75.0,Match Report
179,Southampton,2025-01-25,8,,Newcastle Utd,eng Premier League,L 1-3,1,3,-2,53,1,0,0,0,8,5,75.0,Match Report
180,Southampton,2024-08-24,8,,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,64,0,0,0,0,8,7,87.5,Match Report
181,Tottenham,2025-03-09,8,,Bournemouth,eng Premier League,D 2-2,2,2,0,61,1,1,1,0,8,6,75.0,Match Report
182,Tottenham,2024-12-08,8,,Chelsea,eng Premier League,L 3-4,3,4,-1,39,3,0,0,0,8,4,75.0,Match Report
183,Tottenham,2024-12-05,8,@,Bournemouth,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,8,7,87.5,Match Report
184,Toulouse,2024-11-22,8,@,Paris S-G,fr Ligue 1,L 0-3,0,3,-3,28,0,0,0,0,8,5,62.5,Match Report
185,Fiorentina,2025-02-10,8,@,Inter,it Serie A,L 1-2,1,2,-1,38,0,1,1,0,8,7,75.0,Match Report
186,Fiorentina,2024-10-06,8,,Milan,it Serie A,W 2-1,2,1,+1,41,2,0,1,1,8,5,87.5,Match Report
187,Bournemouth,2024-10-26,8,@,Aston Villa,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,8,7,87.5,Match Report
188,Bournemouth,2024-08-31,8,@,Everton,eng Premier League,W 3-2,3,2,+1,53,3,0,0,0,8,6,75.0,Match Report
189,Bournemouth,2024-08-17,8,@,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,8,7,87.5,Match Report
190,Wolfsburg,2024-08-25,8,,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,30,1,1,1,0,8,6,62.5,Match Report
191,St. Pauli,2025-03-29,8,@,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,35,2,0,0,0,8,5,62.5,Match Report
192,St. Pauli,2024-09-15,8,@,Augsburg,de Bundesliga,L 1-3,1,3,-2,56,1,0,0,0,8,5,62.5,Match Report
193,Marseille,2024-10-27,8,,Paris S-G,fr Ligue 1,L 0-3,0,3,-3,26,0,0,0,0,8,6,62.5,Match Report
194,Marseille,2024-09-22,8,@,Lyon,fr Ligue 1,W 3-2,3,2,+1,37,3,0,0,0,8,5,75.0,Match Report
195,Stuttgart,2025-02-28,8,,Bayern Munich,de Bundesliga,L 1-3,1,3,-2,53,1,0,0,0,8,5,62.5,Match Report
196,Auxerre,2024-10-27,8,@,Lyon,fr Ligue 1,D 2-2,2,2,0,38,2,0,0,0,8,6,87.5,Match Report
197,Auxerre,2024-09-01,8,@,Le Havre,fr Ligue 1,L 1-3,1,3,-2,50,1,0,0,0,8,6,75.0,Match Report
198,Le Havre,2025-01-05,8,@,Marseille,fr Ligue 1,L 1-5,1,5,-4,30,1,0,0,0,8,3,37.5,Match Report
199,Le Havre,2024-10-20,8,,Lyon,fr Ligue 1,L 0-4,0,4,-4,39,0,0,0,0,8,4,50.0,Match Report
