Rk,Team,Date,Off,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Off,PKwon,PKcon,OG,Recov,Match Report
155,Las Palmas,2024-12-15,4,@,Real Sociedad,es La Liga,D 0-0,0,0,0,39,0,0,0,0,4,0,0,0,41,Match Report
156,Hoffenheim,2025-04-05,4,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,4,0,0,0,38,Match Report
157,Hoffenheim,2025-02-16,4,@,Werder Bremen,de Bundesliga,W 3-1,3,1,+2,37,3,0,0,0,4,0,0,1,52,Match Report
158,Hoffenheim,2024-12-15,4,@,Dortmund,de Bundesliga,D 1-1,1,1,0,46,1,0,0,0,4,0,0,0,41,Match Report
159,Osasuna,2025-03-27,4,@,Barcelona,es La Liga,L 0-3,0,3,-3,26,0,0,0,0,4,0,1,0,36,Match Report
160,Osasuna,2025-03-02,4,,Valencia,es La Liga,D 3-3,3,3,0,51,2,1,1,0,4,1,0,0,38,Match Report
161,Osasuna,2024-12-08,4,,Alavés,es La Liga,D 2-2,2,2,0,60,2,0,0,0,4,0,0,0,44,Match Report
162,Osasuna,2024-10-19,4,,Betis,es La Liga,L 1-2,1,2,-1,55,1,0,0,0,4,0,0,0,37,Match Report
163,Udinese,2025-01-20,4,@,Como,it Serie A,L 1-4,1,4,-3,49,1,0,0,0,4,0,0,1,36,Match Report
164,Udinese,2024-09-16,4,@,Parma,it Serie A,W 3-2,3,2,+1,53,3,0,0,0,4,0,0,0,39,Match Report
165,Bayern Munich,2024-11-30,4,@,Dortmund,de Bundesliga,D 1-1,1,1,0,67,1,0,0,0,4,0,0,0,54,Match Report
166,Augsburg,2025-03-08,4,@,Dortmund,de Bundesliga,W 1-0,1,0,+1,29,1,0,0,0,4,0,0,0,43,Match Report
167,Augsburg,2024-12-07,4,@,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,34,2,0,0,0,4,0,0,0,43,Match Report
168,Torino,2025-03-15,4,,Empoli,it Serie A,W 1-0,1,0,+1,50,1,0,0,0,4,0,0,0,32,Match Report
169,Torino,2025-01-24,4,,Cagliari,it Serie A,W 2-0,2,0,+2,50,2,0,0,0,4,0,0,0,31,Match Report
170,Torino,2025-01-05,4,,Parma,it Serie A,D 0-0,0,0,0,62,0,0,0,0,4,0,0,0,36,Match Report
171,Nice,2025-01-03,4,,Rennes,fr Ligue 1,W 3-2,3,2,+1,47,3,0,0,0,4,0,0,0,48,Match Report
172,Nice,2024-11-02,4,@,Brest,fr Ligue 1,W 1-0,1,0,+1,37,1,0,0,0,4,0,0,0,48,Match Report
173,Valladolid,2024-12-13,4,,Valencia,es La Liga,W 1-0,1,0,+1,33,1,0,0,0,4,0,0,0,33,Match Report
174,Valladolid,2024-11-22,4,@,Getafe,es La Liga,L 0-2,0,2,-2,43,0,0,0,0,4,0,0,0,29,Match Report
175,Valladolid,2024-09-24,4,@,Sevilla,es La Liga,L 1-2,1,2,-1,46,1,0,0,0,4,0,0,1,31,Match Report
176,Valladolid,2024-08-31,4,@,Barcelona,es La Liga,L 0-7,0,7,-7,30,0,0,0,0,4,0,0,0,27,Match Report
177,Arsenal,2025-02-15,4,@,Leicester City,eng Premier League,W 2-0,2,0,+2,60,2,0,0,0,4,0,0,0,42,Match Report
178,Arsenal,2024-11-23,4,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,4,0,0,0,31,Match Report
179,Heidenheim,2024-11-10,4,,Wolfsburg,de Bundesliga,L 1-3,1,3,-2,65,1,0,0,0,4,0,0,0,43,Match Report
180,Manchester Utd,2025-01-05,4,@,Liverpool,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,4,0,1,0,41,Match Report
181,Manchester Utd,2024-11-03,4,,Chelsea,eng Premier League,D 1-1,1,1,0,46,0,1,1,0,4,1,0,0,41,Match Report
182,Bologna,2024-09-14,4,@,Como,it Serie A,D 2-2,2,2,0,56,2,0,0,0,4,0,0,1,53,Match Report
183,Barcelona,2025-01-18,4,@,Getafe,es La Liga,D 1-1,1,1,0,77,1,0,0,0,4,0,0,0,32,Match Report
184,Barcelona,2024-12-07,4,@,Betis,es La Liga,D 2-2,2,2,0,62,2,0,0,0,4,0,1,0,42,Match Report
185,Barcelona,2024-11-10,4,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,69,0,0,0,0,4,0,0,0,41,Match Report
186,Barcelona,2024-08-31,4,,Valladolid,es La Liga,W 7-0,7,0,+7,70,7,0,0,0,4,0,0,0,33,Match Report
187,Monza,2025-04-05,4,,Como,it Serie A,L 1-3,1,3,-2,42,1,0,0,0,4,0,0,0,34,Match Report
188,Monza,2024-12-15,4,@,Lecce,it Serie A,L 1-2,1,2,-1,55,0,0,0,0,4,0,1,0,41,Match Report
189,Montpellier,2025-02-23,4,@,Nice,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,4,0,0,0,41,Match Report
190,Montpellier,2024-09-22,4,,Auxerre,fr Ligue 1,W 3-2,3,2,+1,54,3,0,0,0,4,0,0,0,37,Match Report
191,Como,2024-11-07,4,@,Genoa,it Serie A,D 1-1,1,1,0,58,1,0,0,0,4,0,0,0,40,Match Report
192,Villarreal,2024-12-01,4,,Girona,es La Liga,D 2-2,2,2,0,36,2,0,0,0,4,0,0,0,47,Match Report
193,Villarreal,2024-08-23,4,@,Sevilla,es La Liga,W 2-1,2,1,+1,41,2,0,0,0,4,0,0,0,35,Match Report
194,Mallorca,2025-02-16,4,,Las Palmas,es La Liga,W 3-1,3,1,+2,49,3,0,0,0,4,0,0,0,47,Match Report
195,Holstein Kiel,2025-03-29,4,,Werder Bremen,de Bundesliga,L 0-3,0,3,-3,55,0,0,0,0,4,0,0,0,45,Match Report
196,Holstein Kiel,2025-01-11,4,@,Freiburg,de Bundesliga,L 2-3,2,3,-1,49,2,0,0,0,4,0,0,1,33,Match Report
