Rk,Team,Date,Cmp,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
194,Tottenham,2024-09-29,591,@,Manchester Utd,eng Premier League,W 3-0,3,0,+3,61,3,0,0,0,591,675,87.6,19,33,15,2,54,9890,3227,264,286,92.3,277,304,91.1,39,59,66.1,Match Report
195,Stuttgart,2024-08-24,591,@,Freiburg,de Bundesliga,L 1-3,1,3,-2,67,1,0,0,0,591,684,86.4,5,45,6,3,51,9671,3231,312,335,93.1,238,271,87.8,36,60,60.0,Match Report
196,Paris S-G,2024-09-27,591,,Rennes,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,591,674,87.7,21,39,9,1,39,9135,2861,298,320,93.1,236,249,94.8,33,60,55.0,Match Report
197,Marseille,2024-12-01,590,,Monaco,fr Ligue 1,W 2-1,2,1,+1,63,1,1,1,0,590,699,84.4,7,33,6,3,41,9207,2944,298,332,89.8,245,275,89.1,34,54,63.0,Match Report
198,Napoli,2024-11-24,590,,Roma,it Serie A,W 1-0,1,0,+1,63,1,0,0,0,590,674,87.5,13,45,8,2,44,10281,3140,270,289,93.4,260,277,93.9,50,76,65.8,Match Report
199,Como,2024-10-04,589,@,Napoli,it Serie A,L 1-3,1,3,-2,59,1,0,0,0,589,656,89.8,10,47,4,0,42,9592,2693,296,317,93.4,232,252,92.1,46,58,79.3,Match Report
200,Roma,2024-08-25,589,,Empoli,it Serie A,L 1-2,1,2,-1,73,1,0,0,0,589,682,86.4,19,40,16,7,56,9816,2793,279,294,94.9,255,280,91.1,42,75,56.0,Match Report
201,Saint-Étienne,2024-12-13,589,@,Toulouse,fr Ligue 1,L 1-2,1,2,-1,61,1,0,0,0,589,693,85.0,3,20,3,1,19,9199,2650,283,313,90.4,266,288,92.4,22,61,36.1,Match Report
202,Celta Vigo,2025-03-31,589,,Las Palmas,es La Liga,D 1-1,1,1,0,61,1,0,0,0,589,682,86.4,17,63,12,3,65,9702,2877,264,288,91.7,295,315,93.7,21,40,52.5,Match Report
203,Brest,2025-03-16,589,,Reims,fr Ligue 1,D 0-0,0,0,0,71,0,0,0,0,589,708,83.2,5,55,3,0,56,10421,2866,226,248,91.1,308,348,88.5,42,81,51.9,Match Report
204,Real Madrid,2024-11-24,588,@,Leganés,es La Liga,W 3-0,3,0,+3,67,3,0,0,0,588,671,87.6,14,54,9,0,61,9695,3442,302,327,92.4,227,251,90.4,48,65,73.8,Match Report
205,Girona,2024-08-25,588,@,Atlético Madrid,es La Liga,L 0-3,0,3,-3,57,0,0,0,0,588,658,89.4,7,70,8,3,51,9877,2759,295,310,95.2,250,274,91.2,40,60,66.7,Match Report
206,Manchester Utd,2025-04-01,587,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,587,707,83.0,19,41,18,6,66,9378,2859,287,321,89.4,252,291,86.6,33,60,55.0,Match Report
207,Real Madrid,2024-12-14,587,@,Rayo Vallecano,es La Liga,D 3-3,3,3,0,66,3,0,0,0,587,679,86.5,10,40,9,2,62,10153,3202,273,296,92.2,241,265,90.9,56,84,66.7,Match Report
208,Dortmund,2025-01-14,587,@,Holstein Kiel,de Bundesliga,L 2-4,2,4,-2,75,2,0,0,0,587,685,85.7,11,62,8,5,57,9639,2723,288,314,91.7,257,285,90.2,31,56,55.4,Match Report
209,Brighton,2025-01-25,587,,Everton,eng Premier League,L 0-1,0,1,-1,69,0,0,0,0,587,696,84.3,9,58,15,4,61,10003,2720,276,301,91.7,252,287,87.8,48,82,58.5,Match Report
210,Las Palmas,2024-09-30,586,@,Villarreal,es La Liga,L 1-3,1,3,-2,57,1,0,0,0,586,654,89.6,7,31,4,1,49,10308,3086,240,265,90.6,300,317,94.6,43,61,70.5,Match Report
211,Manchester Utd,2024-09-21,586,@,Crystal Palace,eng Premier League,D 0-0,0,0,0,67,0,0,0,0,586,698,84.0,12,38,10,0,57,9740,3065,275,301,91.4,266,294,90.5,37,80,46.3,Match Report
212,Barcelona,2025-02-02,586,,Alavés,es La Liga,W 1-0,1,0,+1,69,1,0,0,0,586,674,86.9,8,44,5,1,47,10162,2920,262,279,93.9,268,298,89.9,45,71,63.4,Match Report
213,Barcelona,2024-09-25,585,,Getafe,es La Liga,W 1-0,1,0,+1,76,1,0,0,0,585,679,86.2,10,59,8,1,58,10374,3207,253,282,89.7,269,291,92.4,50,72,69.4,Match Report
214,Real Madrid,2024-09-01,585,,Betis,es La Liga,W 2-0,2,0,+2,60,1,1,1,0,585,662,88.4,17,58,14,0,58,10595,3491,255,270,94.4,271,299,90.6,55,72,76.4,Match Report
