Rk,Team,Date,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Match Report
33,Atalanta,2024-10-26,728,,Hellas Verona,it Serie A,W 6-1,6,1,+5,69,6,0,0,0,728,66,539,2429,1433,22,27,8,7,15,Match Report
34,Barcelona,2024-12-15,726,,Leganés,es La Liga,L 0-1,0,1,-1,79,0,0,0,0,726,100,573,3148,1810,42,23,8,29,9,Match Report
35,Girona,2024-11-23,721,,Espanyol,es La Liga,W 4-1,4,1,+3,75,4,0,0,0,721,55,447,2951,1442,29,13,10,13,8,Match Report
36,Manchester City,2024-08-24,718,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,75,3,1,1,0,718,60,501,2654,1510,27,27,11,16,10,Match Report
37,Barcelona,2024-11-03,715,,Espanyol,es La Liga,W 3-1,3,1,+2,76,3,0,0,0,715,63,637,3529,2072,27,28,5,12,11,Match Report
38,Marseille,2025-03-29,713,@,Reims,fr Ligue 1,L 1-3,1,3,-2,80,1,0,0,0,713,104,672,3105,1770,40,29,6,11,8,Match Report
39,Inter,2024-10-05,713,,Torino,it Serie A,W 3-2,3,2,+1,80,3,0,0,0,713,72,634,2971,1544,28,41,3,14,3,Match Report
40,Bayern Munich,2025-02-23,710,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,63,4,0,0,0,710,68,521,2644,1184,15,17,5,14,15,Match Report
41,Bayern Munich,2025-02-01,710,,Holstein Kiel,de Bundesliga,W 4-3,4,3,+1,71,4,0,0,0,710,62,599,2632,1362,34,17,14,13,10,Match Report
42,Lille,2025-03-08,708,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,76,1,0,0,0,708,60,625,2683,1680,26,32,4,17,8,Match Report
43,Paris S-G,2024-08-23,708,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,708,61,641,3329,1760,37,29,15,17,2,Match Report
