Rk,Team,Date,PSxG,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PSxG,PSxG/SoT,PSxG+/-,Match Report
170,Crystal Palace,2024-12-21,3.1,,Arsenal,eng Premier League,L 1-5,1,5,-4,42,1,0,0,0,3.1,0.61,-1.9,Match Report
171,Bournemouth,2025-01-14,3.1,@,Chelsea,eng Premier League,D 2-2,2,2,0,43,1,1,1,0,3.1,0.31,+1.1,Match Report
172,Wolfsburg,2024-09-22,3.1,@,Leverkusen,de Bundesliga,L 3-4,3,4,-1,22,2,0,0,0,3.1,0.44,-0.9,Match Report
173,Genoa,2024-11-24,3.1,,Cagliari,it Serie A,D 2-2,2,2,0,52,2,0,0,0,3.1,0.24,+1.1,Match Report
174,Reims,2025-03-09,3.1,,Auxerre,fr Ligue 1,L 0-2,0,2,-2,57,0,0,0,0,3.1,0.39,+1.1,Match Report
175,Leicester City,2024-12-08,3.1,,Brighton,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,3.1,0.45,+1.1,Match Report
176,Leicester City,2024-12-03,3.1,,West Ham,eng Premier League,W 3-1,3,1,+2,39,3,0,0,0,3.1,0.39,+2.1,Match Report
177,Empoli,2025-02-23,3.1,,Atalanta,it Serie A,L 0-5,0,5,-5,46,0,0,0,0,3.1,0.43,-0.9,Match Report
178,Rennes,2025-03-08,3.1,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,32,1,0,0,0,3.1,0.34,-0.9,Match Report
179,Bochum,2025-01-25,3.1,@,Gladbach,de Bundesliga,L 0-3,0,3,-3,43,0,0,0,0,3.1,0.35,+0.1,Match Report
