Rk,Team,Date,Att (GK),,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att (GK),Thr,Launch%,AvgLen,Match Report
54,Las Palmas,2024-09-26,50,,Betis,es La Liga,D 1-1,1,1,0,55,1,0,0,0,50,4,24.0,28.8,Match Report
55,Hoffenheim,2024-11-23,50,,RB Leipzig,de Bundesliga,W 4-3,4,3,+1,59,4,0,0,0,50,5,22.0,29.4,Match Report
56,Torino,2025-01-19,50,@,Fiorentina,it Serie A,D 1-1,1,1,0,47,1,0,0,0,50,6,42.0,35.9,Match Report
57,Wolfsburg,2024-09-14,50,,Eint Frankfurt,de Bundesliga,L 1-2,1,2,-1,60,1,0,0,0,50,8,38.0,35.5,Match Report
58,Real Madrid,2024-12-04,50,@,Athletic Club,es La Liga,L 1-2,1,2,-1,63,1,0,1,1,50,3,22.0,29.8,Match Report
59,Marseille,2024-12-14,50,,Lille,fr Ligue 1,D 1-1,1,1,0,56,1,0,0,0,50,9,12.0,25.0,Match Report
60,Girona,2025-02-14,50,,Getafe,es La Liga,L 1-2,1,2,-1,71,1,0,0,0,50,6,20.0,25.6,Match Report
61,Freiburg,2024-09-21,50,@,Heidenheim,de Bundesliga,W 3-0,3,0,+3,58,3,0,0,0,50,5,34.0,35.2,Match Report
62,Bochum,2024-11-23,50,@,Stuttgart,de Bundesliga,L 0-2,0,2,-2,42,0,0,0,0,50,3,36.0,33.2,Match Report
63,Brentford,2024-08-25,50,@,Liverpool,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,50,3,30.0,34.9,Match Report
64,Brighton,2024-08-17,50,@,Everton,eng Premier League,W 3-0,3,0,+3,60,3,0,0,0,50,1,10.0,25.9,Match Report
65,Milan,2024-08-31,50,@,Lazio,it Serie A,D 2-2,2,2,0,57,2,0,0,0,50,4,12.0,25.6,Match Report
66,Brest,2024-08-25,50,@,Lens,fr Ligue 1,L 0-2,0,2,-2,48,0,0,0,0,50,6,50.0,38.2,Match Report
67,Bayern Munich,2024-09-01,49,,Freiburg,de Bundesliga,W 2-0,2,0,+2,66,1,1,1,0,49,6,6.1,22.9,Match Report
68,Torino,2025-01-24,49,,Cagliari,it Serie A,W 2-0,2,0,+2,50,2,0,0,0,49,3,32.7,36.6,Match Report
69,Valladolid,2024-11-30,49,,Atlético Madrid,es La Liga,L 0-5,0,5,-5,45,0,0,0,0,49,7,20.4,28.8,Match Report
70,Arsenal,2024-10-19,49,@,Bournemouth,eng Premier League,L 0-2,0,2,-2,51,0,0,0,0,49,3,49.0,35.9,Match Report
