Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Launch%,AvgLen,Match Report
64,Nantes,2025-04-04,15,@,Nice,fr Ligue 1,W 2-1,2,1,+1,24,2,0,0,0,15,86.7,49.4,Match Report
65,Eint Frankfurt,2025-01-11,15,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,57,1,0,0,0,15,33.3,27.3,Match Report
66,Fulham,2024-12-08,15,,Arsenal,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,15,60.0,42.4,Match Report
67,Lecce,2024-08-31,15,,Cagliari,it Serie A,W 1-0,1,0,+1,35,1,0,0,0,15,73.3,48.9,Match Report
68,Las Palmas,2025-02-22,14,,Barcelona,es La Liga,L 0-2,0,2,-2,31,0,0,0,0,14,50.0,40.4,Match Report
69,Las Palmas,2024-08-29,14,,Real Madrid,es La Liga,D 1-1,1,1,0,43,1,0,0,0,14,35.7,29.4,Match Report
70,Hoffenheim,2024-10-27,14,@,Heidenheim,de Bundesliga,D 0-0,0,0,0,53,0,0,0,0,14,50.0,41.5,Match Report
71,Augsburg,2024-12-07,14,@,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,34,2,0,0,0,14,57.1,45.0,Match Report
72,Hellas Verona,2025-03-03,14,@,Juventus,it Serie A,L 0-2,0,2,-2,25,0,0,0,0,14,85.7,55.9,Match Report
73,Torino,2025-04-06,14,,Hellas Verona,it Serie A,D 1-1,1,1,0,61,1,0,1,1,14,42.9,40.1,Match Report
74,Torino,2025-02-22,14,,Milan,it Serie A,W 2-1,2,1,+1,36,1,0,0,0,14,85.7,64.6,Match Report
75,Torino,2024-10-05,14,@,Inter,it Serie A,L 2-3,2,3,-1,20,1,1,1,0,14,85.7,63.2,Match Report
76,Torino,2024-08-25,14,,Atalanta,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,14,71.4,61.9,Match Report
77,Nice,2024-09-28,14,@,Lens,fr Ligue 1,D 0-0,0,0,0,44,0,0,0,0,14,42.9,36.4,Match Report
78,Valladolid,2025-02-07,14,@,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,31,0,0,0,0,14,64.3,47.7,Match Report
79,Heidenheim,2025-03-16,14,,Holstein Kiel,de Bundesliga,W 3-1,3,1,+2,39,3,0,0,0,14,35.7,42.6,Match Report
80,Monza,2024-09-15,14,,Inter,it Serie A,D 1-1,1,1,0,40,1,0,0,0,14,50.0,35.0,Match Report
81,Holstein Kiel,2025-04-05,14,@,Mainz 05,de Bundesliga,D 1-1,1,1,0,42,1,0,0,0,14,85.7,58.7,Match Report
