Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
2474,Montpellier,2025-03-08,211,@,Lille,fr Ligue 1,L 0-1,0,1,-1,24,0,0,0,0,211,1094,669,15,8,2,15,10,187,16,Match Report
2475,Southampton,2024-12-22,211,@,Fulham,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,211,1177,607,11,9,3,10,4,349,12,Match Report
2476,Toulouse,2024-08-25,211,@,Nice,fr Ligue 1,D 1-1,1,1,0,43,1,0,0,0,211,1093,654,18,10,5,13,7,270,27,Match Report
2477,Bournemouth,2024-08-25,211,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,211,1085,559,16,9,8,13,9,259,30,Match Report
2478,Auxerre,2024-09-27,211,,Brest,fr Ligue 1,W 3-0,3,0,+3,39,2,1,1,0,211,1148,524,14,11,0,8,8,233,40,Match Report
2479,Wolves,2024-11-09,211,,Southampton,eng Premier League,W 2-0,2,0,+2,29,2,0,0,0,211,1199,594,9,5,4,11,11,226,19,Match Report
2480,Rayo Vallecano,2024-12-22,211,@,Betis,es La Liga,D 1-1,1,1,0,45,1,0,0,0,211,1034,468,11,7,2,17,10,291,26,Match Report
2481,Empoli,2025-02-08,211,,Milan,it Serie A,L 0-2,0,2,-2,39,0,0,0,0,211,1060,447,9,11,4,17,9,229,26,Match Report
2482,Empoli,2025-02-02,211,@,Juventus,it Serie A,L 1-4,1,4,-3,45,1,0,0,0,211,1045,468,10,9,1,12,14,242,16,Match Report
2483,Augsburg,2024-10-04,210,,Gladbach,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,210,1106,550,12,8,5,16,7,229,30,Match Report
2484,Hellas Verona,2024-11-03,210,,Roma,it Serie A,W 3-2,3,2,+1,34,3,0,0,0,210,1073,440,10,8,1,14,8,226,24,Match Report
2485,Holstein Kiel,2025-02-22,210,,Leverkusen,de Bundesliga,L 0-2,0,2,-2,38,0,0,0,0,210,938,430,6,4,0,17,6,253,19,Match Report
2486,Gladbach,2024-12-21,210,@,Hoffenheim,de Bundesliga,W 2-1,2,1,+1,35,2,0,0,0,210,1289,637,11,7,5,8,6,310,17,Match Report
2487,Fiorentina,2024-10-06,210,,Milan,it Serie A,W 2-1,2,1,+1,41,2,0,1,1,210,1280,512,11,10,4,4,5,258,20,Match Report
2488,Aston Villa,2024-12-01,210,@,Chelsea,eng Premier League,L 0-3,0,3,-3,36,0,0,0,0,210,1189,552,8,4,4,11,8,296,20,Match Report
2489,Ipswich Town,2024-08-24,210,@,Manchester City,eng Premier League,L 1-4,1,4,-3,25,1,0,0,0,210,852,304,3,5,0,14,8,210,9,Match Report
2490,Nantes,2024-11-03,210,,Marseille,fr Ligue 1,L 1-2,1,2,-1,27,1,0,0,0,210,1049,478,11,8,4,17,4,237,25,Match Report
2491,Atlético Madrid,2024-10-06,210,@,Real Sociedad,es La Liga,D 1-1,1,1,0,34,1,0,0,0,210,809,422,7,6,0,10,8,263,12,Match Report
2492,Leganés,2025-03-29,209,@,Real Madrid,es La Liga,L 2-3,2,3,-1,30,2,0,0,0,209,1113,610,10,8,2,9,5,201,24,Match Report
2493,Leganés,2024-09-13,209,@,Betis,es La Liga,L 0-2,0,2,-2,36,0,0,0,0,209,771,389,3,8,0,15,5,271,22,Match Report
2494,Venezia,2024-12-22,209,,Cagliari,it Serie A,W 2-1,2,1,+1,32,2,0,0,0,209,1233,596,15,9,2,10,11,193,17,Match Report
2495,Strasbourg,2025-01-19,209,@,Marseille,fr Ligue 1,D 1-1,1,1,0,31,1,0,0,0,209,1040,543,9,4,4,12,6,216,20,Match Report
2496,Everton,2024-08-24,209,@,Tottenham,eng Premier League,L 0-4,0,4,-4,30,0,0,0,0,209,1008,417,10,7,4,9,6,209,22,Match Report
2497,Valencia,2024-09-21,209,,Girona,es La Liga,W 2-0,2,0,+2,33,2,0,0,0,209,1159,634,18,7,6,5,8,222,23,Match Report
2498,Nice,2024-10-27,208,,Monaco,fr Ligue 1,W 2-1,2,1,+1,41,2,0,0,0,208,1303,764,23,22,8,16,10,265,42,Match Report
2499,Monza,2024-10-27,208,,Venezia,it Serie A,D 2-2,2,2,0,46,2,0,0,0,208,1175,504,13,7,4,16,5,295,23,Match Report
2500,Werder Bremen,2025-01-31,208,,Mainz 05,de Bundesliga,W 1-0,1,0,+1,38,1,0,1,1,208,919,391,8,4,3,22,8,240,13,Match Report
2501,Newcastle Utd,2024-11-02,208,,Arsenal,eng Premier League,W 1-0,1,0,+1,37,1,0,0,0,208,1108,512,10,6,5,9,14,215,24,Match Report
2502,Ipswich Town,2024-12-08,208,,Bournemouth,eng Premier League,L 1-2,1,2,-1,44,1,0,0,0,208,1319,628,15,7,7,22,16,266,20,Match Report
2503,Valencia,2024-10-04,208,@,Leganés,es La Liga,D 0-0,0,0,0,41,0,0,0,0,208,1072,514,9,7,2,12,7,286,20,Match Report
2504,Auxerre,2025-02-14,207,@,Brest,fr Ligue 1,D 2-2,2,2,0,36,2,0,0,0,207,986,577,12,8,2,18,13,245,26,Match Report
2505,Auxerre,2024-10-20,207,,Reims,fr Ligue 1,W 2-1,2,1,+1,35,2,0,1,1,207,1113,569,14,10,2,13,7,214,22,Match Report
2506,Rayo Vallecano,2024-08-27,207,,Barcelona,es La Liga,L 1-2,1,2,-1,36,1,0,0,0,207,1038,453,9,8,3,22,2,222,31,Match Report
2507,Hoffenheim,2025-04-05,206,@,RB Leipzig,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,206,916,471,7,6,2,15,7,258,18,Match Report
2508,Osasuna,2024-08-24,206,,Mallorca,es La Liga,W 1-0,1,0,+1,46,1,0,0,0,206,1265,620,18,10,5,11,15,257,31,Match Report
2509,Augsburg,2025-02-08,206,@,Mainz 05,de Bundesliga,D 0-0,0,0,0,34,0,0,0,0,206,1031,383,9,9,5,25,16,192,14,Match Report
2510,Athletic Club,2024-09-15,206,@,Las Palmas,es La Liga,W 3-2,3,2,+1,36,3,0,0,0,206,1325,670,17,10,6,14,8,252,31,Match Report
2511,Getafe,2025-03-09,206,,Atlético Madrid,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,206,943,469,5,4,2,18,12,258,32,Match Report
2512,Getafe,2025-03-02,206,@,Leganés,es La Liga,L 0-1,0,1,-1,43,0,0,0,0,206,768,244,2,6,1,23,9,212,23,Match Report
2513,Leganés,2024-08-17,206,@,Osasuna,es La Liga,D 1-1,1,1,0,39,1,0,0,0,206,968,382,9,8,1,24,10,211,16,Match Report
2514,Reims,2024-08-17,206,,Lille,fr Ligue 1,L 0-2,0,2,-2,32,0,0,0,0,206,1498,673,11,9,2,14,7,224,27,Match Report
2515,Empoli,2024-09-14,206,,Juventus,it Serie A,D 0-0,0,0,0,35,0,0,0,0,206,1021,491,10,2,2,15,8,282,19,Match Report
2516,Freiburg,2024-12-21,206,@,Leverkusen,de Bundesliga,L 1-5,1,5,-4,33,1,0,0,0,206,846,372,7,6,1,13,12,262,22,Match Report
2517,Bochum,2025-03-08,206,@,Bayern Munich,de Bundesliga,W 3-2,3,2,+1,27,3,0,0,0,206,933,284,8,10,2,11,7,196,22,Match Report
2518,Strasbourg,2024-09-29,206,,Marseille,fr Ligue 1,W 1-0,1,0,+1,41,1,0,0,0,206,861,464,15,8,6,14,7,325,37,Match Report
2519,Nott'ham Forest,2025-01-06,206,@,Wolves,eng Premier League,W 3-0,3,0,+3,40,3,0,0,0,206,1313,684,14,11,3,13,6,298,22,Match Report
2520,Brest,2024-08-31,206,,Saint-Étienne,fr Ligue 1,W 4-0,4,0,+4,47,2,2,2,0,206,1090,552,9,5,3,14,8,266,25,Match Report
2521,Lens,2025-01-18,206,,Paris S-G,fr Ligue 1,L 1-2,1,2,-1,34,1,0,0,0,206,1036,491,8,7,2,14,7,278,34,Match Report
2522,Werder Bremen,2025-03-08,205,@,Leverkusen,de Bundesliga,W 2-0,2,0,+2,28,2,0,0,0,205,1164,500,8,10,3,10,4,207,18,Match Report
2523,Alavés,2024-10-06,205,,Barcelona,es La Liga,L 0-3,0,3,-3,29,0,0,0,0,205,1147,558,15,7,4,17,11,191,20,Match Report
2524,Ipswich Town,2025-01-16,205,,Brighton,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,205,1067,425,8,7,4,11,6,355,16,Match Report
2525,Lyon,2024-08-24,205,,Monaco,fr Ligue 1,L 0-2,0,2,-2,40,0,0,0,0,205,1312,575,15,10,4,20,10,278,26,Match Report
2526,Mallorca,2024-12-14,204,,Girona,es La Liga,W 2-1,2,1,+1,32,2,0,0,0,204,1250,560,8,8,2,10,7,249,24,Match Report
2527,Auxerre,2025-01-24,204,,Saint-Étienne,fr Ligue 1,D 1-1,1,1,0,37,1,0,0,0,204,1179,663,19,9,8,18,10,285,35,Match Report
2528,Auxerre,2024-10-27,204,@,Lyon,fr Ligue 1,D 2-2,2,2,0,38,2,0,0,0,204,1386,652,13,13,1,10,7,258,25,Match Report
2529,Lazio,2024-10-19,204,@,Juventus,it Serie A,L 0-1,0,1,-1,31,0,0,0,0,204,1209,553,8,6,1,8,9,225,20,Match Report
2530,Napoli,2025-04-07,204,@,Bologna,it Serie A,D 1-1,1,1,0,39,1,0,0,0,204,912,326,4,3,2,12,10,233,16,Match Report
2531,Nice,2024-12-15,203,@,Montpellier,fr Ligue 1,D 2-2,2,2,0,48,2,0,0,0,203,1326,832,17,15,6,13,12,342,38,Match Report
2532,Heidenheim,2025-03-29,203,@,Wolfsburg,de Bundesliga,W 1-0,1,0,+1,39,0,1,1,0,203,1162,507,11,3,3,11,2,286,33,Match Report
2533,Villarreal,2025-01-13,203,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,44,0,0,0,0,203,1187,651,14,9,5,21,5,290,28,Match Report
2534,Genoa,2024-12-28,203,@,Empoli,it Serie A,W 2-1,2,1,+1,42,2,0,0,0,203,1099,407,8,7,5,22,11,253,24,Match Report
2535,Sevilla,2025-03-09,203,@,Real Sociedad,es La Liga,W 1-0,1,0,+1,39,1,0,0,0,203,1128,589,16,6,8,15,3,288,25,Match Report
2536,Saint-Étienne,2024-11-30,203,@,Rennes,fr Ligue 1,L 0-5,0,5,-5,29,0,0,0,0,203,882,389,6,4,2,17,7,215,7,Match Report
2537,Saint-Étienne,2024-10-19,203,,Lens,fr Ligue 1,L 0-2,0,2,-2,37,0,0,0,0,203,937,364,9,4,3,16,2,270,26,Match Report
2538,Brest,2025-03-30,203,@,Toulouse,fr Ligue 1,W 4-2,4,2,+2,47,4,0,0,0,203,1179,571,12,3,3,13,6,321,24,Match Report
2539,Hellas Verona,2024-09-01,202,@,Genoa,it Serie A,W 2-0,2,0,+2,42,1,1,1,0,202,1175,614,12,9,4,15,10,256,24,Match Report
2540,Mallorca,2024-09-23,202,@,Betis,es La Liga,W 2-1,2,1,+1,39,2,0,0,0,202,1046,532,11,7,4,17,14,316,20,Match Report
2541,Empoli,2025-01-19,202,@,Inter,it Serie A,L 1-3,1,3,-2,32,1,0,0,0,202,889,382,5,5,0,13,12,235,21,Match Report
2542,Ipswich Town,2025-01-25,202,@,Liverpool,eng Premier League,L 1-4,1,4,-3,30,1,0,0,0,202,1154,494,8,4,3,14,8,254,9,Match Report
2543,Everton,2024-11-02,202,@,Southampton,eng Premier League,L 0-1,0,1,-1,35,0,0,0,0,202,1088,580,17,17,5,11,10,261,24,Match Report
2544,Nott'ham Forest,2025-02-23,202,@,Newcastle Utd,eng Premier League,L 3-4,3,4,-1,43,3,0,0,0,202,1210,616,13,10,3,20,6,272,36,Match Report
2545,Augsburg,2024-12-07,201,@,Eint Frankfurt,de Bundesliga,D 2-2,2,2,0,34,2,0,0,0,201,982,482,13,3,3,13,12,218,22,Match Report
2546,Holstein Kiel,2025-03-02,201,@,Union Berlin,de Bundesliga,W 1-0,1,0,+1,48,1,0,0,0,201,1012,461,11,5,1,14,2,249,23,Match Report
2547,Holstein Kiel,2025-02-09,201,,Bochum,de Bundesliga,D 2-2,2,2,0,48,1,1,1,0,201,1079,454,9,8,2,13,10,278,23,Match Report
2548,Holstein Kiel,2025-01-24,201,@,Wolfsburg,de Bundesliga,D 2-2,2,2,0,31,2,0,0,0,201,783,348,4,5,1,11,10,239,16,Match Report
2549,Holstein Kiel,2024-10-05,201,@,Leverkusen,de Bundesliga,D 2-2,2,2,0,26,1,1,1,0,201,873,352,8,7,3,7,6,215,8,Match Report
2550,Getafe,2024-08-24,201,,Rayo Vallecano,es La Liga,D 0-0,0,0,0,48,0,0,0,0,201,1081,588,9,13,3,27,9,196,33,Match Report
2551,Reims,2025-03-16,201,@,Brest,fr Ligue 1,D 0-0,0,0,0,29,0,0,0,0,201,1254,717,12,8,3,16,8,206,15,Match Report
2552,Las Palmas,2025-03-09,200,@,Betis,es La Liga,L 0-1,0,1,-1,33,0,0,0,0,200,1006,443,10,11,1,11,9,226,24,Match Report
2553,Osasuna,2024-09-21,200,,Las Palmas,es La Liga,W 2-1,2,1,+1,40,1,1,1,0,200,1438,853,17,11,6,14,12,259,39,Match Report
2554,Augsburg,2024-11-02,200,@,Wolfsburg,de Bundesliga,D 1-1,1,1,0,31,1,0,0,0,200,792,438,9,5,0,14,5,200,19,Match Report
2555,Hellas Verona,2025-03-31,200,,Parma,it Serie A,D 0-0,0,0,0,42,0,0,0,0,200,1196,585,12,6,5,15,5,280,25,Match Report
2556,Montpellier,2024-12-01,200,,Lille,fr Ligue 1,D 2-2,2,2,0,42,2,0,0,0,200,1278,650,15,5,1,10,12,257,16,Match Report
2557,St. Pauli,2024-10-18,200,@,Dortmund,de Bundesliga,L 1-2,1,2,-1,26,1,0,0,0,200,929,461,6,7,4,16,10,210,11,Match Report
2558,Aston Villa,2024-12-26,200,@,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,38,0,0,0,0,200,1127,599,11,6,0,10,7,267,18,Match Report
2559,Leicester City,2024-09-14,200,@,Crystal Palace,eng Premier League,D 2-2,2,2,0,34,2,0,0,0,200,1256,563,9,8,2,13,18,228,15,Match Report
2560,Strasbourg,2024-09-21,200,@,Lille,fr Ligue 1,D 3-3,3,3,0,37,3,0,0,0,200,1380,760,18,6,7,9,6,273,24,Match Report
2561,Nott'ham Forest,2024-10-25,200,@,Leicester City,eng Premier League,W 3-1,3,1,+2,35,3,0,0,0,200,1160,626,19,11,11,12,9,238,31,Match Report
2562,Udinese,2024-10-30,199,@,Venezia,it Serie A,L 2-3,2,3,-1,43,2,0,0,0,199,1185,567,12,7,4,13,8,284,22,Match Report
2563,Hellas Verona,2024-11-10,199,@,Fiorentina,it Serie A,L 1-3,1,3,-2,39,1,0,0,0,199,1213,573,11,7,1,8,12,210,20,Match Report
2564,Mallorca,2024-10-28,199,,Athletic Club,es La Liga,D 0-0,0,0,0,33,0,0,0,0,199,1002,393,3,5,1,17,7,208,19,Match Report
2565,Rennes,2025-01-11,199,,Marseille,fr Ligue 1,L 1-2,1,2,-1,36,1,0,1,1,199,879,378,11,5,4,15,12,318,20,Match Report
2566,Augsburg,2024-09-15,198,,St. Pauli,de Bundesliga,W 3-1,3,1,+2,44,3,0,0,0,198,984,453,12,5,4,27,7,266,28,Match Report
2567,Holstein Kiel,2024-12-21,198,,Augsburg,de Bundesliga,W 5-1,5,1,+4,37,5,0,0,0,198,1006,465,8,8,1,13,4,222,21,Match Report
2568,Gladbach,2025-04-06,198,@,St. Pauli,de Bundesliga,D 1-1,1,1,0,37,1,0,0,0,198,1248,642,6,6,1,14,6,264,12,Match Report
2569,Gladbach,2025-03-29,198,,RB Leipzig,de Bundesliga,W 1-0,1,0,+1,40,1,0,0,0,198,984,505,8,4,4,10,9,277,25,Match Report
2570,Genoa,2024-10-05,198,@,Atalanta,it Serie A,L 1-5,1,5,-4,37,1,0,0,0,198,1254,472,5,5,0,12,6,292,15,Match Report
2571,Leganés,2024-12-08,198,,Real Sociedad,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,198,950,459,9,5,0,16,14,349,30,Match Report
2572,Alavés,2024-11-01,198,,Mallorca,es La Liga,W 1-0,1,0,+1,51,1,0,0,0,198,1115,627,15,7,3,11,8,248,28,Match Report
2573,Espanyol,2025-03-15,198,@,Mallorca,es La Liga,L 1-2,1,2,-1,38,0,0,0,0,198,1029,468,8,7,1,16,5,218,13,Match Report
2574,Rennes,2025-03-08,198,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,32,1,0,0,0,198,1446,715,19,12,7,17,9,273,30,Match Report
2575,Bochum,2025-02-15,198,,Dortmund,de Bundesliga,W 2-0,2,0,+2,31,2,0,0,0,198,945,530,13,10,6,13,4,239,31,Match Report
2576,Fulham,2024-12-08,198,,Arsenal,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,198,1331,577,11,8,2,9,6,233,11,Match Report
2577,Lecce,2024-10-26,198,@,Napoli,it Serie A,L 0-1,0,1,-1,36,0,0,0,0,198,1109,523,14,6,1,7,5,215,14,Match Report
2578,Athletic Club,2024-09-22,197,,Celta Vigo,es La Liga,W 3-1,3,1,+2,33,3,0,0,0,197,1253,658,14,12,3,15,10,269,35,Match Report
2579,Le Havre,2025-02-08,197,@,Lille,fr Ligue 1,W 2-1,2,1,+1,34,2,0,0,0,197,919,442,8,7,2,8,12,220,15,Match Report
2580,Espanyol,2025-02-16,197,,Athletic Club,es La Liga,D 1-1,1,1,0,39,1,0,0,0,197,1030,504,10,12,0,11,10,220,22,Match Report
2581,Ipswich Town,2024-09-14,197,@,Brighton,eng Premier League,D 0-0,0,0,0,32,0,0,0,0,197,1163,626,11,5,4,20,8,203,15,Match Report
2582,Cagliari,2024-12-28,197,,Inter,it Serie A,L 0-3,0,3,-3,35,0,0,0,0,197,969,477,13,6,3,6,3,228,23,Match Report
2583,Parma,2024-10-06,197,@,Bologna,it Serie A,D 0-0,0,0,0,29,0,0,0,0,197,1122,542,13,15,6,18,9,176,17,Match Report
2584,Las Palmas,2024-11-08,196,@,Rayo Vallecano,es La Liga,W 3-1,3,1,+2,36,2,0,0,0,196,1099,504,14,9,5,13,6,231,21,Match Report
2585,Hellas Verona,2025-04-06,196,@,Torino,it Serie A,D 1-1,1,1,0,39,1,0,0,0,196,1070,491,15,7,9,10,2,223,27,Match Report
2586,Crystal Palace,2024-09-21,196,,Manchester Utd,eng Premier League,D 0-0,0,0,0,33,0,0,0,0,196,1101,447,10,6,2,8,8,236,17,Match Report
2587,Le Havre,2024-08-16,196,,Paris S-G,fr Ligue 1,L 1-4,1,4,-3,24,1,0,0,0,196,1007,517,10,3,2,14,9,205,18,Match Report
2588,Empoli,2025-04-06,196,,Cagliari,it Serie A,D 0-0,0,0,0,46,0,0,0,0,196,1129,460,11,8,2,24,11,212,36,Match Report
2589,Cagliari,2024-10-29,196,,Bologna,it Serie A,L 0-2,0,2,-2,42,0,0,0,0,196,1064,443,12,6,3,15,7,295,27,Match Report
2590,Everton,2025-01-25,196,@,Brighton,eng Premier League,W 1-0,1,0,+1,31,0,1,1,0,196,968,457,4,5,1,15,13,234,16,Match Report
2591,Everton,2024-12-26,196,@,Manchester City,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,196,1151,641,13,7,4,14,7,278,17,Match Report
2592,Nott'ham Forest,2024-10-06,196,@,Chelsea,eng Premier League,D 1-1,1,1,0,35,1,0,0,0,196,1073,610,14,10,3,14,7,246,20,Match Report
2593,Nott'ham Forest,2024-09-14,196,@,Liverpool,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,196,1108,509,10,5,2,19,7,195,21,Match Report
2594,Lecce,2024-11-25,196,@,Venezia,it Serie A,W 1-0,1,0,+1,39,1,0,0,0,196,1061,377,9,7,1,23,6,278,24,Match Report
2595,Crystal Palace,2024-10-05,195,,Liverpool,eng Premier League,L 0-1,0,1,-1,32,0,0,0,0,195,1239,560,7,8,2,11,6,219,24,Match Report
2596,Empoli,2025-03-02,195,@,Genoa,it Serie A,D 1-1,1,1,0,40,1,0,0,0,195,768,377,7,9,2,15,12,172,26,Match Report
2597,Saint-Étienne,2024-11-23,195,,Montpellier,fr Ligue 1,W 1-0,1,0,+1,33,1,0,0,0,195,1140,713,11,7,4,11,12,210,26,Match Report
2598,Real Sociedad,2024-11-10,195,,Barcelona,es La Liga,W 1-0,1,0,+1,31,1,0,0,0,195,969,429,12,4,7,21,7,199,20,Match Report
2599,Nott'ham Forest,2024-12-26,195,,Tottenham,eng Premier League,W 1-0,1,0,+1,30,1,0,0,0,195,994,592,15,9,3,21,7,199,24,Match Report
2600,Union Berlin,2025-03-09,194,@,Eint Frankfurt,de Bundesliga,W 2-1,2,1,+1,34,2,0,0,0,194,823,302,5,5,1,16,6,214,24,Match Report
2601,Alavés,2024-08-25,194,,Betis,es La Liga,D 0-0,0,0,0,38,0,0,0,0,194,1188,673,16,14,2,12,5,229,36,Match Report
2602,Nantes,2025-01-19,194,@,Saint-Étienne,fr Ligue 1,D 1-1,1,1,0,25,1,0,0,0,194,843,424,8,8,5,15,12,169,15,Match Report
2603,Empoli,2024-09-29,193,,Fiorentina,it Serie A,D 0-0,0,0,0,38,0,0,0,0,193,1312,673,21,9,4,12,12,253,19,Match Report
2604,Everton,2025-01-04,193,@,Bournemouth,eng Premier League,L 0-1,0,1,-1,42,0,0,0,0,193,1030,438,6,10,2,19,10,237,20,Match Report
2605,Nantes,2024-08-31,193,@,Montpellier,fr Ligue 1,W 3-1,3,1,+2,31,2,1,1,0,193,949,455,14,6,5,16,7,207,23,Match Report
2606,Nott'ham Forest,2025-03-08,193,,Manchester City,eng Premier League,W 1-0,1,0,+1,31,1,0,0,0,193,1147,566,14,6,4,19,13,229,29,Match Report
2607,Las Palmas,2025-02-28,192,@,Valladolid,es La Liga,D 1-1,1,1,0,36,1,0,0,0,192,989,454,6,3,0,17,12,238,25,Match Report
2608,Augsburg,2025-02-14,192,,RB Leipzig,de Bundesliga,D 0-0,0,0,0,39,0,0,0,0,192,1137,514,19,10,4,17,6,278,24,Match Report
2609,Heidenheim,2024-12-15,192,,Stuttgart,de Bundesliga,L 1-3,1,3,-2,34,1,0,0,0,192,1208,647,17,11,1,11,5,210,26,Match Report
2610,Bournemouth,2024-12-05,192,,Tottenham,eng Premier League,W 1-0,1,0,+1,35,1,0,0,0,192,1166,607,13,8,8,17,14,192,32,Match Report
2611,Auxerre,2024-12-06,192,,Paris S-G,fr Ligue 1,D 0-0,0,0,0,27,0,0,0,0,192,1004,443,5,7,1,18,15,181,26,Match Report
2612,Heidenheim,2024-10-19,191,@,Gladbach,de Bundesliga,L 2-3,2,3,-1,34,1,1,1,0,191,974,496,9,8,1,15,8,204,25,Match Report
2613,Montpellier,2025-02-23,191,@,Nice,fr Ligue 1,L 0-2,0,2,-2,44,0,0,0,0,191,1087,459,10,6,5,21,9,312,28,Match Report
2614,Montpellier,2025-01-17,191,,Monaco,fr Ligue 1,W 2-1,2,1,+1,33,2,0,0,0,191,1074,677,18,11,4,12,10,172,22,Match Report
2615,Genoa,2025-02-22,191,@,Inter,it Serie A,L 0-1,0,1,-1,38,0,0,0,0,191,1326,623,17,8,4,19,6,285,26,Match Report
2616,Genoa,2024-10-27,191,@,Lazio,it Serie A,L 0-3,0,3,-3,39,0,0,0,0,191,1241,557,7,5,1,16,8,298,23,Match Report
2617,Getafe,2025-01-12,191,@,Las Palmas,es La Liga,W 2-1,2,1,+1,37,2,0,0,0,191,1134,621,16,10,8,16,14,189,20,Match Report
2618,Leganés,2025-01-26,191,@,Athletic Club,es La Liga,D 0-0,0,0,0,32,0,0,0,0,191,896,359,3,9,0,18,7,204,18,Match Report
2619,Leganés,2024-09-22,191,@,Getafe,es La Liga,D 1-1,1,1,0,41,1,0,0,0,191,789,282,7,10,4,15,10,205,17,Match Report
2620,Espanyol,2024-08-24,191,,Real Sociedad,es La Liga,L 0-1,0,1,-1,34,0,0,0,0,191,1269,729,19,12,3,12,5,203,23,Match Report
2621,Ipswich Town,2024-10-26,191,@,Brentford,eng Premier League,L 3-4,3,4,-1,35,3,0,0,0,191,1089,530,12,6,4,19,5,217,23,Match Report
2622,Montpellier,2024-08-18,190,,Strasbourg,fr Ligue 1,D 1-1,1,1,0,42,0,1,1,0,190,1261,512,11,7,2,18,14,266,35,Match Report
2623,Wolfsburg,2024-08-25,190,,Bayern Munich,de Bundesliga,L 2-3,2,3,-1,30,1,1,1,0,190,967,365,8,4,3,12,10,187,21,Match Report
2624,Auxerre,2025-01-10,190,,Lille,fr Ligue 1,D 0-0,0,0,0,30,0,0,0,0,190,1081,591,9,10,6,19,14,185,13,Match Report
2625,West Ham,2024-11-30,190,,Arsenal,eng Premier League,L 2-5,2,5,-3,40,2,0,0,0,190,912,446,6,7,4,12,9,265,28,Match Report
2626,Rayo Vallecano,2024-09-25,190,@,Girona,es La Liga,D 0-0,0,0,0,29,0,0,0,0,190,800,354,5,6,2,16,8,211,22,Match Report
2627,Leicester City,2025-04-02,190,@,Manchester City,eng Premier League,L 0-2,0,2,-2,28,0,0,0,0,190,985,444,4,3,0,13,4,251,18,Match Report
2628,Espanyol,2024-11-03,190,@,Barcelona,es La Liga,L 1-3,1,3,-2,24,1,0,0,0,190,1357,794,17,7,5,15,3,162,15,Match Report
2629,Bochum,2025-01-11,190,@,Mainz 05,de Bundesliga,L 0-2,0,2,-2,42,0,0,0,0,190,967,517,12,2,2,16,9,262,30,Match Report
2630,Brest,2025-04-05,190,,Monaco,fr Ligue 1,W 2-1,2,1,+1,41,2,0,0,0,190,1254,623,18,9,5,19,3,266,35,Match Report
2631,Holstein Kiel,2025-02-01,189,@,Bayern Munich,de Bundesliga,L 3-4,3,4,-1,29,3,0,0,0,189,867,396,9,7,4,15,5,254,11,Match Report
2632,Holstein Kiel,2024-09-14,189,,Bayern Munich,de Bundesliga,L 1-6,1,6,-5,30,1,0,0,0,189,871,309,5,2,1,10,3,265,13,Match Report
2633,Werder Bremen,2024-09-21,189,,Bayern Munich,de Bundesliga,L 0-5,0,5,-5,31,0,0,0,0,189,930,517,8,2,2,16,10,296,19,Match Report
2634,Nott'ham Forest,2025-02-01,189,,Brighton,eng Premier League,W 7-0,7,0,+7,38,5,1,1,0,189,1314,705,17,7,8,23,13,273,38,Match Report
2635,Fiorentina,2025-01-26,188,@,Lazio,it Serie A,W 2-1,2,1,+1,30,2,0,0,0,188,941,422,6,4,2,15,10,198,12,Match Report
2636,Stuttgart,2025-02-08,188,@,Dortmund,de Bundesliga,W 2-1,2,1,+1,32,1,0,0,0,188,736,311,5,5,2,16,7,213,26,Match Report
2637,Le Havre,2024-11-24,188,@,Nantes,fr Ligue 1,W 2-0,2,0,+2,30,1,0,0,0,188,952,434,7,2,1,18,12,213,19,Match Report
2638,Holstein Kiel,2024-11-24,187,,Mainz 05,de Bundesliga,L 0-3,0,3,-3,38,0,0,0,0,187,822,336,5,6,1,17,13,281,19,Match Report
2639,Getafe,2024-09-18,187,@,Betis,es La Liga,L 1-2,1,2,-1,35,1,0,0,0,187,1053,537,13,8,5,17,8,193,22,Match Report
2640,Empoli,2024-11-08,187,@,Lecce,it Serie A,D 1-1,1,1,0,42,1,0,0,0,187,938,437,12,6,3,18,9,254,24,Match Report
2641,Brentford,2025-03-15,187,@,Bournemouth,eng Premier League,W 2-1,2,1,+1,42,2,0,0,0,187,955,424,12,6,5,12,6,255,34,Match Report
2642,Brighton,2025-03-15,187,@,Manchester City,eng Premier League,D 2-2,2,2,0,40,1,0,0,0,187,869,476,12,11,5,13,11,269,23,Match Report
2643,Real Sociedad,2025-02-16,187,@,Betis,es La Liga,L 0-3,0,3,-3,32,0,0,0,0,187,815,411,5,5,2,7,5,190,18,Match Report
