Rk,Team,Date,Carries,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
126,Southampton,2025-03-15,531,,Wolves,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,531,3077,1585,27,20,4,11,15,563,49,Match Report
127,Real Madrid,2025-04-05,531,,Valencia,es La Liga,L 1-2,1,2,-1,65,1,0,1,1,531,2779,1598,34,20,9,20,7,596,63,Match Report
128,Reims,2024-09-15,531,@,Nantes,fr Ligue 1,W 2-1,2,1,+1,55,2,0,0,0,531,2782,1423,25,16,4,14,10,547,52,Match Report
129,Saint-Étienne,2025-01-19,531,,Nantes,fr Ligue 1,D 1-1,1,1,0,75,1,0,0,0,531,2552,1187,25,17,5,24,19,690,63,Match Report
130,Bayern Munich,2024-09-21,529,@,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,69,5,0,0,0,529,2792,1286,31,19,13,23,10,798,96,Match Report
131,RB Leipzig,2024-09-14,529,,Union Berlin,de Bundesliga,D 0-0,0,0,0,67,0,0,1,1,529,2191,999,16,15,6,16,13,677,43,Match Report
132,Paris S-G,2024-10-06,529,@,Nice,fr Ligue 1,D 1-1,1,1,0,71,0,0,0,0,529,2087,1189,31,19,9,16,13,663,54,Match Report
133,Paris S-G,2024-09-27,529,,Rennes,fr Ligue 1,W 3-1,3,1,+2,61,3,0,0,0,529,2231,1040,23,12,9,7,9,588,39,Match Report
134,Manchester Utd,2024-12-01,527,,Everton,eng Premier League,W 4-0,4,0,+4,60,4,0,0,0,527,2677,1352,19,14,5,9,9,578,25,Match Report
135,Marseille,2025-03-08,526,,Lens,fr Ligue 1,L 0-1,0,1,-1,75,0,0,0,0,526,3131,1881,40,44,9,13,20,804,80,Match Report
136,Liverpool,2024-09-21,526,,Bournemouth,eng Premier League,W 3-0,3,0,+3,58,3,0,0,0,526,2435,1191,30,16,11,13,15,542,39,Match Report
137,Dortmund,2024-11-23,526,,Freiburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,526,2704,1357,30,27,13,14,10,587,46,Match Report
138,Manchester City,2024-10-26,526,,Southampton,eng Premier League,W 1-0,1,0,+1,57,1,0,0,0,526,2460,1383,38,20,16,3,12,592,63,Match Report
139,Leverkusen,2024-12-21,526,,Freiburg,de Bundesliga,W 5-1,5,1,+4,67,5,0,1,1,526,2518,1335,20,13,6,18,7,611,54,Match Report
140,Inter,2024-11-23,526,@,Hellas Verona,it Serie A,W 5-0,5,0,+5,69,5,0,0,0,526,2187,1198,20,13,4,2,8,763,42,Match Report
141,Torino,2025-01-05,525,,Parma,it Serie A,D 0-0,0,0,0,62,0,0,0,0,525,3136,1759,30,18,9,13,5,510,49,Match Report
142,Tottenham,2024-08-24,525,,Everton,eng Premier League,W 4-0,4,0,+4,70,4,0,0,0,525,2789,1510,22,16,6,13,16,566,51,Match Report
143,Newcastle Utd,2024-12-14,525,,Leicester City,eng Premier League,W 4-0,4,0,+4,59,4,0,0,0,525,2325,1093,20,14,11,12,12,573,60,Match Report
144,Newcastle Utd,2024-10-05,525,@,Everton,eng Premier League,D 0-0,0,0,0,67,0,0,1,1,525,2950,1558,28,18,11,12,10,590,54,Match Report
145,Manchester Utd,2024-09-21,524,@,Crystal Palace,eng Premier League,D 0-0,0,0,0,67,0,0,0,0,524,2651,1284,18,14,7,15,14,576,56,Match Report
146,Barcelona,2025-01-26,524,,Valencia,es La Liga,W 7-1,7,1,+6,71,6,0,0,0,524,2530,1225,19,12,7,14,4,653,43,Match Report
147,Como,2024-10-19,524,,Parma,it Serie A,D 1-1,1,1,0,61,1,0,0,0,524,2709,1462,36,13,11,15,4,533,54,Match Report
148,Southampton,2024-11-02,522,,Everton,eng Premier League,W 1-0,1,0,+1,65,1,0,0,0,522,2116,1159,18,17,5,16,9,554,42,Match Report
149,Rennes,2025-04-06,522,,Auxerre,fr Ligue 1,L 0-1,0,1,-1,63,0,0,0,0,522,2547,1400,15,14,5,14,7,597,46,Match Report
150,Lyon,2025-03-28,522,@,Strasbourg,fr Ligue 1,L 2-4,2,4,-2,60,1,1,1,0,522,2230,1191,20,17,8,11,13,538,50,Match Report
151,Atlético Madrid,2024-10-20,522,,Leganés,es La Liga,W 3-1,3,1,+2,63,3,0,0,0,522,2866,1775,39,25,6,21,5,515,56,Match Report
152,Bayern Munich,2025-02-23,521,,Eint Frankfurt,de Bundesliga,W 4-0,4,0,+4,63,4,0,0,0,521,2644,1184,15,17,5,14,15,710,68,Match Report
153,Monza,2024-08-24,521,,Genoa,it Serie A,L 0-1,0,1,-1,69,0,0,0,0,521,2513,1249,16,16,2,14,9,588,52,Match Report
