Rk,Team,Date,Gls,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
100,Getafe,2025-04-06,4,@,Valladolid,es La Liga,W 4-0,4,0,+4,49,4,0,0,0,4,16,0.25,0.50,8,50.0,16.5,1,Match Report
101,Union Berlin,2025-02-08,4,@,Hoffenheim,de Bundesliga,W 4-0,4,0,+4,36,4,0,0,0,4,22,0.18,0.57,7,31.8,15.3,0,Match Report
102,West Ham,2024-10-05,4,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,52,4,0,0,0,4,23,0.17,0.33,12,52.2,16.4,1,Match Report
103,Reims,2024-10-06,4,,Montpellier,fr Ligue 1,W 4-2,4,2,+2,48,3,1,1,0,4,17,0.18,0.75,4,23.5,15.8,1,Match Report
104,Liverpool,2025-01-25,4,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,70,4,0,0,0,4,16,0.25,0.67,6,37.5,17.8,0,Match Report
105,Wolves,2024-11-23,4,@,Fulham,eng Premier League,W 4-1,4,1,+3,41,4,0,0,0,4,10,0.40,0.80,5,50.0,16.5,0,Match Report
106,Girona,2024-11-23,4,,Espanyol,es La Liga,W 4-1,4,1,+3,75,4,0,0,0,4,12,0.33,0.80,5,41.7,15.0,1,Match Report
107,Girona,2024-08-29,4,,Osasuna,es La Liga,W 4-0,4,0,+4,60,4,0,0,0,4,10,0.40,0.80,5,50.0,14.3,0,Match Report
108,Atalanta,2025-03-09,4,@,Juventus,it Serie A,W 4-0,4,0,+4,37,3,1,1,0,4,18,0.17,0.38,8,44.4,14.1,0,Match Report
109,Atalanta,2025-02-23,4,@,Empoli,it Serie A,W 5-0,5,0,+5,54,4,0,0,0,4,14,0.29,0.50,8,57.1,11.7,0,Match Report
110,Atalanta,2024-08-19,4,@,Lecce,it Serie A,W 4-0,4,0,+4,52,3,1,1,0,4,10,0.30,0.60,5,50.0,13.4,0,Match Report
111,Empoli,2024-12-08,4,@,Hellas Verona,it Serie A,W 4-1,4,1,+3,50,4,0,0,0,4,15,0.27,0.80,5,33.3,20.4,1,Match Report
112,Espanyol,2025-04-04,4,@,Rayo Vallecano,es La Liga,W 4-0,4,0,+4,31,3,1,1,0,4,14,0.21,0.50,6,42.9,17.5,0,Match Report
113,RB Leipzig,2025-01-12,4,,Werder Bremen,de Bundesliga,W 4-2,4,2,+2,49,4,0,0,0,4,18,0.22,0.57,7,38.9,16.6,0,Match Report
114,RB Leipzig,2024-09-28,4,,Augsburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,4,17,0.24,0.67,6,35.3,14.0,0,Match Report
115,Sevilla,2025-02-16,4,@,Valladolid,es La Liga,W 4-0,4,0,+4,48,4,0,0,0,4,11,0.36,0.67,6,54.5,18.7,0,Match Report
116,Dortmund,2025-04-05,4,@,Freiburg,de Bundesliga,W 4-1,4,1,+3,46,4,0,0,0,4,18,0.22,0.57,7,38.9,12.7,0,Match Report
117,Dortmund,2024-11-23,4,,Freiburg,de Bundesliga,W 4-0,4,0,+4,59,4,0,0,0,4,19,0.21,0.57,7,36.8,18.7,1,Match Report
118,Dortmund,2024-09-27,4,,Bochum,de Bundesliga,W 4-2,4,2,+2,66,3,1,1,0,4,22,0.14,0.43,7,31.8,16.4,0,Match Report
119,Dortmund,2024-09-13,4,,Heidenheim,de Bundesliga,W 4-2,4,2,+2,60,3,1,1,0,4,12,0.25,0.60,5,41.7,17.0,0,Match Report
120,Newcastle Utd,2025-02-23,4,,Nott'ham Forest,eng Premier League,W 4-3,4,3,+1,57,3,1,1,0,4,12,0.25,0.75,4,33.3,11.6,0,Match Report
121,Newcastle Utd,2024-12-21,4,@,Ipswich Town,eng Premier League,W 4-0,4,0,+4,58,4,0,0,0,4,15,0.27,0.57,7,46.7,14.1,0,Match Report
