Rk,Team,Date,#OPA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,#OPA,AvgDist,Match Report
164,Manchester City,2024-12-01,4,@,Liverpool,eng Premier League,L 0-2,0,2,-2,56,0,0,0,0,4,30.3,Match Report
165,Strasbourg,2025-03-28,4,,Lyon,fr Ligue 1,W 4-2,4,2,+2,40,4,0,0,0,4,18.3,Match Report
166,Strasbourg,2025-01-25,4,,Lille,fr Ligue 1,W 2-1,2,1,+1,42,2,0,0,0,4,17.5,Match Report
167,Strasbourg,2024-12-15,4,@,Le Havre,fr Ligue 1,W 3-0,3,0,+3,44,3,0,0,0,4,21.4,Match Report
168,Leverkusen,2024-09-22,4,,Wolfsburg,de Bundesliga,W 4-3,4,3,+1,78,4,0,0,0,4,27.8,Match Report
169,Chelsea,2025-04-06,4,@,Brentford,eng Premier League,D 0-0,0,0,0,58,0,0,0,0,4,22.6,Match Report
170,Chelsea,2024-12-15,4,,Brentford,eng Premier League,W 2-1,2,1,+1,62,2,0,0,0,4,15.9,Match Report
171,Saint-Étienne,2025-01-19,4,,Nantes,fr Ligue 1,D 1-1,1,1,0,75,1,0,0,0,4,24.6,Match Report
172,Everton,2025-02-15,4,@,Crystal Palace,eng Premier League,W 2-1,2,1,+1,42,2,0,0,0,4,16.7,Match Report
173,Everton,2024-08-31,4,,Bournemouth,eng Premier League,L 2-3,2,3,-1,47,2,0,0,0,4,22.3,Match Report
174,Napoli,2025-03-09,4,,Fiorentina,it Serie A,W 2-1,2,1,+1,49,2,0,0,0,4,27.3,Match Report
175,Napoli,2025-03-01,4,,Inter,it Serie A,D 1-1,1,1,0,62,1,0,0,0,4,17.9,Match Report
176,Napoli,2024-10-26,4,,Lecce,it Serie A,W 1-0,1,0,+1,64,1,0,0,0,4,16.3,Match Report
177,Lyon,2024-08-18,4,@,Rennes,fr Ligue 1,L 0-3,0,3,-3,53,0,0,1,1,4,22.2,Match Report
178,Milan,2025-02-22,4,@,Torino,it Serie A,L 1-2,1,2,-1,64,1,0,1,1,4,19.5,Match Report
179,Milan,2025-01-11,4,,Cagliari,it Serie A,D 1-1,1,1,0,68,1,0,0,0,4,20.9,Match Report
180,Milan,2024-08-17,4,,Torino,it Serie A,D 2-2,2,2,0,56,2,0,0,0,4,22.0,Match Report
181,Valencia,2025-02-22,4,,Atlético Madrid,es La Liga,L 0-3,0,3,-3,49,0,0,0,0,4,25.4,Match Report
182,Valencia,2024-12-07,4,,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,4,29.5,Match Report
183,Juventus,2025-03-16,4,@,Fiorentina,it Serie A,L 0-3,0,3,-3,62,0,0,0,0,4,23.3,Match Report
184,Paris S-G,2024-12-18,4,@,Monaco,fr Ligue 1,W 4-2,4,2,+2,60,4,0,0,0,4,20.1,Match Report
185,Eint Frankfurt,2025-01-11,4,@,St. Pauli,de Bundesliga,W 1-0,1,0,+1,57,1,0,0,0,4,17.0,Match Report
186,Eint Frankfurt,2024-12-07,4,,Augsburg,de Bundesliga,D 2-2,2,2,0,66,2,0,0,0,4,22.8,Match Report
187,Celta Vigo,2025-03-08,4,,Leganés,es La Liga,W 2-1,2,1,+1,56,2,0,0,0,4,17.4,Match Report
188,Celta Vigo,2025-02-08,4,,Betis,es La Liga,W 3-2,3,2,+1,55,3,0,0,0,4,19.4,Match Report
189,Brest,2025-02-23,4,@,Strasbourg,fr Ligue 1,D 0-0,0,0,0,43,0,0,0,0,4,19.8,Match Report
190,Brest,2024-11-02,4,,Nice,fr Ligue 1,L 0-1,0,1,-1,63,0,0,0,0,4,21.0,Match Report
191,Betis,2024-12-01,4,@,Real Sociedad,es La Liga,L 0-2,0,2,-2,59,0,0,0,0,4,28.8,Match Report
192,Betis,2024-10-06,4,@,Sevilla,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,4,22.1,Match Report
193,Betis,2024-09-26,4,@,Las Palmas,es La Liga,D 1-1,1,1,0,45,1,0,0,0,4,26.0,Match Report
194,Lens,2024-11-23,4,,Marseille,fr Ligue 1,L 1-3,1,3,-2,45,1,0,0,0,4,22.9,Match Report
195,Lens,2024-11-02,4,@,Paris S-G,fr Ligue 1,L 0-1,0,1,-1,32,0,0,0,0,4,19.8,Match Report
196,Lecce,2024-10-20,4,,Fiorentina,it Serie A,L 0-6,0,6,-6,39,0,0,0,0,4,19.5,Match Report
197,Las Palmas,2025-02-28,3,@,Valladolid,es La Liga,D 1-1,1,1,0,36,1,0,0,0,3,17.1,Match Report
198,Osasuna,2025-02-10,3,@,Mallorca,es La Liga,D 1-1,1,1,0,54,1,0,0,0,3,19.0,Match Report
199,Udinese,2025-01-04,3,@,Hellas Verona,it Serie A,D 0-0,0,0,0,63,0,0,0,0,3,17.2,Match Report
200,Udinese,2024-12-23,3,@,Fiorentina,it Serie A,W 2-1,2,1,+1,49,2,0,0,0,3,20.2,Match Report
