Rk,Team,Date,Att,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Att,Succ,Succ%,Tkld,Tkld%,Match Report
67,Atlético Madrid,2025-03-16,30,,Barcelona,es La Liga,L 2-4,2,4,-2,35,2,0,0,0,30,12,40.0,16,53.3,Match Report
68,Atlético Madrid,2024-12-15,30,,Getafe,es La Liga,W 1-0,1,0,+1,57,1,0,0,0,30,13,43.3,14,46.7,Match Report
69,Milan,2024-12-15,30,,Genoa,it Serie A,D 0-0,0,0,0,57,0,0,0,0,30,13,43.3,15,50.0,Match Report
70,Paris S-G,2024-09-14,30,,Brest,fr Ligue 1,W 3-1,3,1,+2,67,3,0,0,0,30,8,26.7,22,73.3,Match Report
71,Parma,2025-01-19,30,,Venezia,it Serie A,D 1-1,1,1,0,59,0,1,1,0,30,15,50.0,12,40.0,Match Report
72,Monaco,2024-09-14,30,@,Auxerre,fr Ligue 1,W 3-0,3,0,+3,59,3,0,0,0,30,20,66.7,8,26.7,Match Report
73,Bayern Munich,2025-02-07,29,,Werder Bremen,de Bundesliga,W 3-0,3,0,+3,75,1,2,2,0,29,14,48.3,12,41.4,Match Report
74,Bayern Munich,2024-11-30,29,@,Dortmund,de Bundesliga,D 1-1,1,1,0,67,1,0,0,0,29,13,44.8,14,48.3,Match Report
75,Augsburg,2025-02-08,29,@,Mainz 05,de Bundesliga,D 0-0,0,0,0,34,0,0,0,0,29,15,51.7,12,41.4,Match Report
76,Nice,2024-08-25,29,,Toulouse,fr Ligue 1,D 1-1,1,1,0,57,1,0,0,0,29,10,34.5,18,62.1,Match Report
77,Arsenal,2024-12-14,29,,Everton,eng Premier League,D 0-0,0,0,0,76,0,0,0,0,29,13,44.8,13,44.8,Match Report
78,Barcelona,2025-04-05,29,,Betis,es La Liga,D 1-1,1,1,0,73,1,0,0,0,29,15,51.7,12,41.4,Match Report
79,Barcelona,2024-12-07,29,@,Betis,es La Liga,D 2-2,2,2,0,62,2,0,0,0,29,12,41.4,13,44.8,Match Report
80,Barcelona,2024-08-27,29,@,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,64,2,0,0,0,29,16,55.2,11,37.9,Match Report
81,Barcelona,2024-08-24,29,,Athletic Club,es La Liga,W 2-1,2,1,+1,64,2,0,0,0,29,13,44.8,13,44.8,Match Report
82,Como,2025-02-01,29,@,Bologna,it Serie A,L 0-2,0,2,-2,50,0,0,0,0,29,14,48.3,13,44.8,Match Report
83,Athletic Club,2024-11-10,29,@,Valladolid,es La Liga,D 1-1,1,1,0,66,1,0,0,0,29,13,44.8,13,44.8,Match Report
84,Southampton,2024-12-04,29,,Chelsea,eng Premier League,L 1-5,1,5,-4,45,1,0,0,0,29,14,48.3,12,41.4,Match Report
85,Stuttgart,2025-02-15,29,,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,57,1,0,0,0,29,15,51.7,13,44.8,Match Report
86,Stuttgart,2024-12-21,29,,St. Pauli,de Bundesliga,L 0-1,0,1,-1,72,0,0,0,0,29,17,58.6,11,37.9,Match Report
87,Leganés,2024-12-08,29,,Real Sociedad,es La Liga,L 0-3,0,3,-3,56,0,0,0,0,29,12,41.4,15,51.7,Match Report
88,Reims,2025-02-09,29,@,Lyon,fr Ligue 1,L 0-4,0,4,-4,33,0,0,0,0,29,8,27.6,19,65.5,Match Report
89,Aston Villa,2025-02-25,29,@,Crystal Palace,eng Premier League,L 1-4,1,4,-3,64,1,0,0,0,29,11,37.9,13,44.8,Match Report
90,Wolves,2024-11-30,29,,Bournemouth,eng Premier League,L 2-4,2,4,-2,60,2,0,0,0,29,9,31.0,14,48.3,Match Report
91,Rayo Vallecano,2024-10-26,29,,Alavés,es La Liga,W 1-0,1,0,+1,51,0,0,0,0,29,20,69.0,9,31.0,Match Report
92,Chelsea,2025-03-09,29,,Leicester City,eng Premier League,W 1-0,1,0,+1,56,1,0,1,1,29,13,44.8,9,31.0,Match Report
93,Chelsea,2024-11-23,29,@,Leicester City,eng Premier League,W 2-1,2,1,+1,63,2,0,0,0,29,10,34.5,14,48.3,Match Report
94,Chelsea,2024-11-03,29,@,Manchester Utd,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,29,15,51.7,9,31.0,Match Report
95,Chelsea,2024-10-20,29,@,Liverpool,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,29,10,34.5,17,58.6,Match Report
96,Saint-Étienne,2024-10-26,29,@,Angers,fr Ligue 1,L 2-4,2,4,-2,58,1,1,1,0,29,17,58.6,12,41.4,Match Report
97,Paris S-G,2024-08-23,29,,Montpellier,fr Ligue 1,W 6-0,6,0,+6,68,6,0,0,0,29,10,34.5,17,58.6,Match Report
98,Eint Frankfurt,2025-02-23,29,@,Bayern Munich,de Bundesliga,L 0-4,0,4,-4,37,0,0,0,0,29,13,44.8,15,51.7,Match Report
