Rk,Team,Date,PKatt,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,PKatt,PKA,PKsv,PKm,Save%,Match Report
2484,Milan,2024-10-19,0,,Udinese,it Serie A,W 1-0,1,0,+1,44,1,0,0,0,0,0,0,0,,Match Report
2485,Milan,2024-09-27,0,,Lecce,it Serie A,W 3-0,3,0,+3,57,3,0,0,0,0,0,0,0,,Match Report
2486,Milan,2024-09-22,0,@,Inter,it Serie A,W 2-1,2,1,+1,43,2,0,0,0,0,0,0,0,,Match Report
2487,Milan,2024-09-14,0,,Venezia,it Serie A,W 4-0,4,0,+4,62,2,2,2,0,0,0,0,0,,Match Report
2488,Milan,2024-08-31,0,@,Lazio,it Serie A,D 2-2,2,2,0,57,2,0,0,0,0,0,0,0,,Match Report
2489,Milan,2024-08-24,0,@,Parma,it Serie A,L 1-2,1,2,-1,61,1,0,0,0,0,0,0,0,,Match Report
2490,Milan,2024-08-17,0,,Torino,it Serie A,D 2-2,2,2,0,56,2,0,0,0,0,0,0,0,,Match Report
2491,Valencia,2025-03-30,0,,Mallorca,es La Liga,W 1-0,1,0,+1,44,1,0,0,0,0,0,0,0,,Match Report
2492,Valencia,2025-03-15,0,@,Girona,es La Liga,D 1-1,1,1,0,43,1,0,0,0,0,0,0,0,,Match Report
2493,Valencia,2025-03-08,0,,Valladolid,es La Liga,W 2-1,2,1,+1,62,2,0,0,0,0,0,0,0,,Match Report
2494,Valencia,2025-02-22,0,,Atlético Madrid,es La Liga,L 0-3,0,3,-3,49,0,0,0,0,0,0,0,0,,Match Report
2495,Valencia,2025-02-15,0,@,Villarreal,es La Liga,D 1-1,1,1,0,50,1,0,0,0,0,0,0,0,,Match Report
2496,Valencia,2025-02-09,0,,Leganés,es La Liga,W 2-0,2,0,+2,44,2,0,0,0,0,0,0,0,,Match Report
2497,Valencia,2025-02-02,0,,Celta Vigo,es La Liga,W 2-1,2,1,+1,46,2,0,0,0,0,0,0,0,,Match Report
